avgReturn0,avgReturn1,avgReturn2,avgReturn3,avgReturn4,avgReturn5,avgReturn6,avgReturn7,avgReturn8,avgReturn9
103.50004645085156,42.54014352541399,187.86473917100423,6.242266593944381,30.224340990593216,172.59924314850477,154.75276867916696,36.878860007607244,-56.1042900913043,-121.5835546702446
181.85792159762718,38.45515982672955,256.5154911130351,-77.46199151986157,26.299513539040696,138.88203763317875,109.77274336500977,13.545773638727676,-78.14937823685038,-69.09744033583755
128.55380133553163,52.54813991278897,109.9818892939838,8.449292502379171,52.66704635979903,141.6536659965624,162.44010909883508,33.74005047645847,-66.1695307846126,-2.8536721016655116
151.97106739443163,30.51763806514545,119.84245401419687,-32.96336868977135,26.485805985880848,185.73025539462506,208.1636197628094,24.978119023494198,-66.17342448243119,-79.30008326008218
174.39641202883172,15.00585073434668,158.6344681637396,-11.35887825516653,83.762988838525,207.1065783518703,139.45084426195078,0.30135390678957813,-59.14041934361993,-82.50715321105987
150.57456945231388,33.62383115738837,144.12005848671473,-14.019004253835904,41.78431650649654,148.4601376503746,138.77377983505613,46.454670828333725,-73.70423714939288,-27.082338628182068
144.36643131360114,47.430483902494096,192.85748817169184,-78.01736947987474,58.10703882497896,196.79191997072988,181.04641069752668,13.88604456491162,-61.0552745901648,-38.305423990838506
236.9798968983775,58.00573764749529,234.54171385184034,-102.14237042068888,51.29492531223484,188.60977181269726,166.8072852316649,77.5474221993751,-58.85429492566811,-105.61893071590234
180.36437149009285,13.506692177656697,194.28020539946016,-20.17734818160238,42.4432329215449,155.87149224502267,149.5428938250502,52.213329433947,-78.15850229460236,-47.7396203351041
143.3852845317793,33.28634107284423,144.36346915825828,10.336189651551663,51.22069340779685,240.7124801887205,176.96662024854706,29.781160374033423,-74.5256567269231,-92.816543624254
163.34064403138154,93.09833839606908,129.61773162012446,1.2797606952952072,103.85579579491288,208.4487819052788,151.28891186706812,41.17390750507707,-39.95585153998248,-81.04812592301172
149.57056506313725,69.15653386409474,281.1326441614127,-34.809055315790694,60.88288290709968,215.28248216053984,201.74145768056786,36.12921017528036,-40.65184426273111,-34.871277175535084
213.0645765002807,72.59406712253089,34.484829852127426,-3.41743444783402,14.560556443215397,196.72935871720642,180.322674170837,46.30081744336412,-47.1916864678594,-91.98991582190983
155.61800215562516,80.61701677571129,165.3300039731179,-31.38830231534448,82.32341099959403,214.25286285724374,191.15669524691356,83.858219480063,-78.3398056425459,-95.23172450337127
208.96513964923264,36.7596171086472,118.3646470785375,-34.430216815431635,73.9287764909983,248.70700860332477,200.96783391388448,34.452432923075825,-16.99548271608911,-36.93402663415683
