rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 429.79878913    0.           59.9042309   659.7490379   539.72936556
   29.95312045  819.73755195  459.72082772  559.79447942  389.68245429]","[ 229.80877406  109.91710774   49.93275261  289.82956477  269.71838449
   49.92482823   19.96442605  209.86012142    0.          209.89532013]","[ 409.71968805   69.94356553  959.73398736  679.86835278  819.7475029
  619.69114476  589.84242777   19.96963552  569.79144252  149.93393982]","[   29.95822075   399.69976689  1169.49155393   499.79712499   809.70547631
   119.82155182   449.70427339   469.89378313   259.81947007    69.95989549]","[ 409.88962658   79.89544199   29.94538745   19.97966734   99.88521785
  129.94964469  139.91023587   99.8784134   179.94271965  289.89015076]"
"[  399.74870865   579.66169076   429.7600602    929.42997003   869.42613798
    89.9255439   1189.11681565   759.54604773   349.80484046   449.68204515]","[  79.90255011  329.87332778  449.8542804    19.97886787  269.79019086
  339.85348274  119.96557131  159.93563185  239.84086984  309.91848633]","[ 579.80730735  229.8192062   289.86210522  179.93621223  139.78123856
  759.78226787  829.80738664  699.7796263    29.94252124  249.915418  ]","[ 679.78568195   19.96938486  349.82035776  159.86962084  869.33450635
  719.64478837  459.77269894  809.81768853  499.70236917  799.61654948]","[ 309.82152162  529.89794658  189.79410986  309.85422937   69.95441994
  139.86240288  249.8526927   109.92590414  229.8959174    69.92827142]"
"[ 349.81212333  439.64956966   69.93208554  419.77207574   59.95890426
  419.77207588  299.88019658  539.74286548  199.71522895  549.55438148]","[  49.94406435  149.92455561  249.86146311  169.87527869  229.84449765
  279.79013281  389.80869261   29.96285683  709.83716963   89.91631162]","[  959.69921851     9.98735112  1009.5742188   1159.66236985   809.75787141
   269.81088724   589.7916033    549.77153187  1269.54301322     0.        ]","[ 389.7042766    29.95671811  259.72496147  199.92937408  539.8755224
   39.93029695  809.85731569  369.8516524   529.70785106  669.80224329]","[ 319.79437447  329.7558969    59.9345982    19.96661022   89.86350052
   99.88387745  419.89308725  319.75386618  469.87708468  319.85546973]"
"[  369.6441475    479.80430823   679.75663235   689.73823723   319.86774413
    49.96423773   549.7234281    369.64414756  1399.429226     289.8799831 ]","[ 119.82625029  399.73705766   99.95457121  359.84418584  339.90166511
  509.84296113  449.83921369   39.95747158  159.93183538  129.92400568]","[  629.68090536   369.9038231    209.92832267   379.69824234   239.77095486
  1079.6802045    929.54338435   679.82530466   819.70158609    29.96295899]","[  599.65777705     0.           269.88561204   319.62127715   309.77754205
   579.62439177    99.92361764   779.60099533  1139.44053192  1409.5215675 ]","[ 219.86634263  289.88325743  259.82105307   59.95556714  199.94103696
  279.87929159  379.71928283  479.81421388  299.85574549   39.95174658]"
"[  499.81404511   569.80349697   569.71762096   759.81221491  1019.76566003
   619.64315524   729.75674014   579.58178945   609.67439584   789.59918199]","[ 239.80845789  879.72804467  269.74592131  179.82205229   19.97032468
   29.96174528  459.87587232   19.96254153  269.84405287  309.76233033]","[    0.          1499.23759893   429.73387243    39.94899269   719.60277664
   359.70585533     0.          1859.37620255   889.72651175   799.66443317]","[  29.94477438  769.79925265  799.82208644  539.63374905  779.5044886
  669.80616827   99.91309825  619.61710135  459.67830986   89.88205704]","[ 239.80101185   39.9705336   199.89432747   29.9430152    29.96044246
  319.91834111    0.          259.68647728  459.73711636   19.96616549]"
"[  379.82804454   899.85161698   529.75149716   359.77542984   879.691625
   469.76161987   529.78920322   259.81022561  1219.65590178  1249.59405337]","[ 449.85264178  359.83137095   49.94784795   69.94083935  259.90044609
  429.78006178  469.72091759  419.74598514  379.83255297  329.74845635]","[ 1479.26881512   259.83461055   419.7129428    519.62859803   299.87800615
    29.94169365   989.33123854  1229.59886838   439.82395535   279.76700415]","[  779.76344157   689.67485841   419.74996576     9.98445829   489.71603373
   509.80074218  1319.40803753   599.76176688   259.82641605   409.74960152]","[   9.98028629  379.84882345   59.94372507  189.92122711  459.90365496
    9.98256838  599.64781978   19.96687179  379.71280891  309.86826463]"
"[ 1349.51586221  1069.41222277   719.69955967   239.82610899   549.87649796
   189.92576705   209.90364668   409.89654434   719.87143589   399.81086232]","[ 739.69409352  559.89888763  429.81506068  419.80899143  139.91966136
  119.87764954  159.85483363  469.80947894  429.8734496   299.84973982]","[ 919.47209905  539.59586153  129.85075298  639.73139118  909.47694425
  519.76649194  349.77345782  549.56078914  609.78742845  809.76178768]","[  749.49394035  1269.44409074   449.77479055   569.72149882    39.95832582
   129.94364872   939.570218     649.5244043    579.82223248    49.90884305]","[ 699.64991996  529.87753246  209.92367214  129.85993754  429.9028657
   49.97024337  259.89855961  619.80082721  489.73371525  419.8018656 ]"
"[ 1369.62370327  1199.55864658  1759.46887161     0.          1009.58937453
   239.84434445   449.7871142   1369.35713888   889.41233287   989.68808764]","[ 279.84873803   29.96059777  359.79007662  649.80268348  379.56034343
  349.75142778  229.83699334  339.70746909  569.74526822  419.87663453]","[  759.560491     489.78173074   769.79902207   569.63709446   239.79333034
  1039.65369323   689.69075833  1219.68836921   579.84588777   599.76179544]","[ 459.7793846   779.68697412  489.8189462   569.73273362  629.78189114
  989.62923639  429.77285424  619.72712116   99.92364093  629.85840347]","[ 349.70652595  419.74541114  359.87283279   39.94398255  429.76749059
  799.68379668  539.69675512  409.69748483  719.58842036   39.92993948]"
"[ 1259.60000661  1299.61294472   259.84544182   249.80524664  1459.04006703
   269.80683457   839.74200488   399.81533752   539.5693446   1279.77146105]","[ 799.7227737   399.77988325  429.7827117   349.66235043  579.65628575
  109.84500122  279.9159402   529.86250818  439.77748571   29.96404364]","[ 829.77015863  639.75151518  809.55055712  619.48782141  899.74037871
  549.80740279  539.71150643  599.7216279   789.79228448   39.95749251]","[    0.           949.76726303     9.97953722  1639.42887239   629.8343337
  1229.72594436   619.69112253     0.           939.74573835   829.66700177]","[  89.91312816   69.9226158    89.94800222   29.9537201     9.98282345
  669.71757765  559.6936122    69.9314484    49.94300185  529.82455204]"
"[  549.59793818  1229.50483396  1209.46850393   599.57343268   829.44855111
   879.5802633    819.49073262    39.94000289   559.70015736   709.73743442]","[ 499.86958386   29.9540943   209.91826379  549.80337708   29.96503452
  599.65674929  369.68642817  359.78499429  349.75735593  529.7276006 ]","[   19.96695873    19.97595104   679.86609126   709.68760516   529.70175888
   619.70453361   989.85786122  1249.57707094   669.83105882   209.70121443]","[ 1449.37329294     9.98271129   879.6776315    639.53499867   679.61819841
  1539.48147187  1409.51280359  1289.54781751   369.71307609   779.82795249]","[ 209.7828037    99.96421931   89.95514088  379.86157135  309.81944771
  119.88213837  899.66331383   49.91590792  809.48992947   59.95262922]"
