variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4
1748194.0434147336,3251155.976408132,2616351.989469399,82265.31232145807,403293.4171655769
13237580.86945125,274602.9833472479,62049.42422480473,422959.6561262026,67820.9879917027
16154029.444429602,272777.309358863,64306.92766415994,148534.21920419316,116575.03562541625
5769944.496598458,10605255.087788343,44898.74545376049,151220.66082693945,1575000.7918461591
979671.0250283753,111069.7785967828,385637.79481105594,2486894.5408962835,300707.2203117118
1052052.3306021835,379350.49943422223,982685.9197468832,3789609.6890093554,676772.7134191507
1056909.8509830472,314660.0683681865,49064.788957193974,147593.30287086527,860707.2236305416
35425.92872865225,364568.3095904769,39909.63847835164,110332.84971071625,362170.4029590392
25846.685775423204,43610.1429475065,77299.12512210525,388683.27944365045,1534686.7447967161
13839850.641246948,652867.0742048672,360054.20622353186,1287810.9825824178,5635872.822300401
31380621.06063021,247870.81640168442,1855497.332582491,98535.85552691409,2192279.1108182557
46337.0997011089,2802489.84193589,40945.5493024379,36317.172358595395,169098.58468483895
10322874.421225132,3218837.931725784,97598.27970187024,86556.77803157893,70696.3645389006
55129.243401350264,715822.3609631328,945587.8114188575,150167.1092846584,77011.28056433682
3001883.2617064985,1468344.0112253367,51365.17463823897,205435.28369430144,445722.0939622468
7076828.294787391,888818.2856881013,124686.86954143445,3021123.0773024797,1277701.5562760981
84646.4609250839,978894.3856010544,89048.69518476723,126881.29171740616,492477.3147045014
386750.2858874277,612924.581690979,306649.18350472033,42142.81598457885,444794.16151406907
19858387.017409816,1058984.040159359,1158099.1621620017,92909.19944553643,1001465.3416423568
3780904.267506414,872930.3429968149,39482.32056912408,65025.642252521066,1164946.5954922133
50795.159690158434,2590359.91211211,159448.39978130316,232921.81831271504,450238.13625518256
752998.9976243314,1017448.1324560966,2313809.2717921343,111541.02752647432,2243162.5566207534
18498928.259332273,114415.74062439133,2041976.8054813698,1368266.4065405887,1457783.6817936169
