rewardsSnapshot3,rewardsSnapshot4,rewardsSnapshot5,rewardsSnapshot6,rewardsSnapshot7,rewardsSnapshot8,rewardsSnapshot9
"[ 466.42838116  189.08735096  189.08735096  268.83276722  189.08735096
  268.83276722  345.34309382  390.61630129  466.42838116  189.08735096
  -24.8347009   -59.80285197   86.72995432  194.46528366  268.83276722
   -8.38018143   38.74489758  466.42838116   66.28213465]","[-143.86425469  -54.25073111  482.66716561  -59.7629443    53.64848582
 -183.52489508   22.50135219  348.44768452 -101.47239622   41.0363918
  695.01486951 -124.63682686  400.18836002  359.93939914   82.31412376
  400.18836002   96.02411582  645.75618328  -51.65896278]","[ -69.78549403  -34.24895941 -179.70504981  132.68406526  746.75296354
  640.40492718  365.93581974  214.7555631   -18.06226649  -32.13112735
  -20.5995059   300.9584555    36.28368392  -42.47270757  296.59939851
  405.81261838  163.40721476   49.43187341    5.04751202]","[ 754.73466398  541.93073653   62.41763976  632.28793742   89.77380472
  632.84508082  393.84232063  519.22181766  610.72358464  826.69079093
  393.38202894  758.42108126  677.35470976  542.21768543  426.34447072
  761.30597994  129.19791712   75.85409123  533.80268826]","[ 356.32386543  384.24873415  127.88903405  630.80222052  600.8696143
  459.24217389  570.36334236  521.24077102  428.05162261  759.96730098
  477.81790961  328.87307762  419.63199014  511.93953235  658.49173728
  515.95400199  304.48179161  618.45804674  488.60787328]","[ 349.29591753  208.91541144  331.52306942  475.26730014  211.0746728
  553.50510233  122.97293119  518.05836828 -220.58061167  298.89928062
  329.28490578  300.06006734  337.45824176  284.72332479  323.26308386
   97.01798318  530.52846403  484.57398409  462.38276884]","[ 100.05796787  316.02339937  110.60458947  339.55787239  282.08737359
  148.84113792  -65.41783708   34.62209709   71.07700114  286.21254958
  589.81973208  324.40274051  427.87139858  677.24345856  531.9036386
   14.51434756   46.69388583  402.47896878  563.00740755]"
"[ 549.62599941  -24.87774701   79.29402565   49.82443201   79.29402565
   49.82443201    3.99896349   79.29402565   49.82443201   14.14502246
  301.38335714   83.696316     49.82443201   14.14502246   14.14502246
  527.26510361   -1.54281545  192.08487095  -57.52053045]","[ 104.05936561   35.038456     21.27018218  436.27090673  432.42536602
  372.40664267  321.99530475  240.43431757  511.13948362  568.82498772
    9.59626087  -84.7932224    -9.31661268   34.97298095  443.3525992
  365.97262608  300.36216344   35.038456    194.11370674]","[ -99.60142287  191.24346491  -51.29259983  182.83847903  303.16141257
  489.33883258  708.8344025   310.00747622  209.03872263  405.95301509
   61.88184411  369.50076105  574.49428803    9.51163041  -27.74632028
  -49.25910311  114.94268234   54.14913945   16.77872189]","[ 417.16014348  214.72575715  909.79874569  375.05013389  772.55468952
  559.49171509  648.19934796  227.2167378   869.18166921  610.21372055
  198.19747873  281.9353447   585.31032033  528.54444811  668.21573733
  527.4318781   725.8834446   709.94393085  906.26513237]","[  41.12475725  437.75532521  530.87511553  496.00724917  229.29985825
  805.40870927  763.67274065  410.59178538  654.75213549  576.71485354
   40.10439481  681.50260438  591.19457195  627.14512051  537.76528079
  498.71400267  345.97625976  554.28188698  380.6138568 ]","[ 509.08923641  133.58623353  312.11152826  138.51428938  417.92495393
  256.77088484  610.06437909   91.40411547  392.36676555  398.51326244
  198.55446209  448.34226204  296.73628927  269.21738589   -7.14376546
  738.13088348  544.35401045  232.8024234   399.86413852]","[ -27.46300625  487.09305468  175.06011251  101.29737171  427.86700823
  230.1338166   546.00554944  399.03362154  512.74521107  288.91275926
  228.38726255   15.21171965   86.99318538  151.54364408  414.78723421
  401.3898753   464.43603959  339.62637292  614.93323491]"
"[  86.13637009  -63.45481912  127.00831129  506.23632929  -65.84888302
   86.13637009   37.68433769   -5.11539293  357.01997899  138.7878879
  363.94698473  363.94698473  127.00831129  127.00831129  506.23632929
  506.23632929   35.15417118  363.94698473  127.00831129]","[ 153.2190668   601.20576612  -42.33479706  609.3297284   439.20936547
  154.94028116 -147.02141579  454.36262972  -50.83277537  250.3329048
  308.91627965  533.67974754  236.81351454  225.86527684 -266.45467014
 -147.02141579  267.32565476  635.79931307  -72.42588152]","[ -22.50628347  274.19440099   69.05627747   42.89348091   42.29845969
  547.09277712  138.96439689  383.76404916  -43.84790265  379.55615055
   57.81935248  135.49879541  -55.71575857  -57.46112771   95.28799847
  178.06651038  364.80653052  103.03517331  237.84685724]","[ 151.1888202   465.46431262  601.08492232  818.96817552  261.45666512
  171.00854808  832.31886788  747.24514734  834.41064026  644.19275692
  514.02446002  598.64079347  619.91301776  504.73981498  580.99907265
  478.39837073  827.31649718  609.57644638  181.78078574]","[ 591.86491099  662.99374658  382.89369707  624.10836733  552.18761987
  204.82143929  191.39361932  400.5487495   455.06351475  723.88607309
  480.07838673  369.99281999  482.14565047  252.5418525   540.99412458
  492.6424478   322.99271314  310.58212343  515.39469407]","[ 366.51341998  404.86256442  333.68090115 -105.41532037   65.09959508
  226.61150344  368.48916418  399.33865024  450.75970205  349.92924332
  742.14353106  254.65746555  367.76936804  126.5183459   446.74486823
   25.09966681  340.92819644  694.62555595  351.54030189]","[ 445.83625681  615.74046     355.45601347  466.67274421  450.75045561
  227.86636447  569.45167415  307.05362164  146.23357527 -115.06566109
  302.08957463  605.71938071  124.55681778  551.12182125  592.81570469
  159.41380702  455.94954032  164.46122018 -132.60078136]"
"[ 143.46966672    2.17467269   41.85627771  383.47665206  -22.65321949
  525.69453738   41.85627771  -24.64790609  -11.41940841  472.05230681
  525.69453738   41.85627771  186.90517505  144.50726641  383.47665206
  186.90517505  575.9265783   525.69453738   41.85627771]","[  18.45219919  606.25109684  243.11226174  269.38718802  198.67195073
  601.22355526  342.33787148  -46.48281303   12.45324945   38.9540422
  539.98548229  575.74158587  452.63743736  243.11226174 -170.264247
  305.41216867   90.36551422   88.94760373  498.0341312 ]","[ -25.53503089  320.83597959 -180.68347539  260.40373575  138.5649206
  -72.13612867  473.00443629    7.64349907  242.8968336  -162.45837957
 -254.82660105  344.78743173   60.16822413   -9.29081813   69.04902173
   -1.35788737 -278.7559328  -157.48704421 -180.68347539]","[ 544.91679488  752.15115583  649.94862245  462.67303703  479.09316799
  323.08563852  808.92387459  214.3052458   763.67939824  761.73758615
  703.40955414  574.65674032  149.77753096  635.33260956  598.90631168
  283.58373501  379.58358468  701.26951721  577.11738471]","[ 328.0077448   739.49936471  618.07558611  346.42263459  407.37811536
  531.69182187  327.86734455  378.43500492  236.82299006  472.9092708
  529.62730554  343.32699342  598.36590074  469.29446342  427.65125669
  304.61939409  418.96470173  498.40942027  255.4385301 ]","[ 298.30311319  595.39699562  352.99612127  264.73304279  471.63867671
  333.79303677  353.99256627  -10.80644612  150.9817239   292.63857711
  622.55299522 -146.99770406  397.37950294  220.50409062  298.30311319
   30.27498334  206.56910906  288.05040773  222.15899422]","[ 483.98917907  510.63650668  434.5829747   361.17755493 -143.1085347
  401.75087167  430.35675991   84.9013723    47.27184342   67.72690817
  380.89966517  418.2278736   342.07760988  694.1265072   424.42703899
  357.89366816  460.31316823  144.89557752  -23.16901618]"
"[ 419.18465076   49.00701387   51.66519737   61.06454656   66.00296643
  158.12168125  342.93044627  442.61630387  266.24640529  342.93044627
  342.93044627   40.58923721   51.66519737  342.93044627  442.61630387
  442.61630387  497.77017626  497.77017626  -59.99146715]","[  37.05930352  381.38233426  -99.84366896  553.19682315  181.30702466
  489.51424134  -73.62063652 -134.3604121   425.01761802  568.26104924
  116.69054262  164.36308765  333.10374606  237.96180155  156.96862626
  333.10374606  -49.67083802  553.12688989  -80.53206009]","[ -29.14672348  692.40247215  678.95187247  288.772796     19.28154642
  365.85675469  -27.47988459   53.96201879  -39.22044376   40.38983559
   40.38983559 -102.99080004  310.45082932  137.74211839  487.96261143
  250.71613231  113.53182277  234.29880881   43.06465821]","[  849.50255279   721.67422239   763.50775103   467.24360834   696.75269676
   656.65972264  1003.04356486   786.80856641   730.17028283   728.51873283
   237.64927585   711.35848798   483.17772868   669.72816998   376.05695916
    56.68786096   585.10833399   601.26818151   257.62988812]","[ 500.66978555  654.73281896  439.3593502   229.54453219  335.02272439
  525.34770382  374.69003445  143.48033107  510.73532471  537.01422378
  517.85915825  272.09617792  482.70560323  752.45243418  283.16215249
  172.95785638  419.08553688  396.93456061  508.73785487]","[-114.52654045  130.35804888  463.66807916  493.1137796   493.1137796
   66.17423498  138.79552775  551.74508085  346.58151554 -167.18176608
  305.48920562  183.0528784   466.42522145  480.55295809  406.01803796
  503.661678     37.10200612 -102.86399289  397.69114541]","[ 297.70059495  118.60899989  382.00723684  361.10174798  303.20434811
  379.6843846   134.00237649  795.93655834  263.12640197  230.14746528
  279.25483824  524.35527099  104.61148873  219.50550969   54.5876832
  519.83340028  607.0912182   439.97359562   88.06238887]"
"[ 434.66524868  560.75890976  139.9992526    83.00707105  560.75890976
   18.70966023  560.75890976   18.70966023  -58.95669316  -15.76834563
  434.66524868  560.75890976  -16.94082901  -67.70287826   77.02280408
  -58.95669316   18.70966023  312.54261336  331.45157506]","[ 622.92763776 -207.08870179   29.28410164  173.35257732  417.67871401
  116.23517172  646.8537455   706.07171037  211.92739867   81.73614179
   14.25909958 -148.56385138 -175.69396745  929.48019201  228.75164438
  113.27713426  335.68239431 -175.69396745   51.90440528]","[ 668.8861132   669.92288432  547.56368368  276.44816692  248.11142327
   48.05886711  296.4627391   560.45093176 -108.14612814  524.00087795
  270.45253146  126.48780292  509.9799935   519.73580283  296.73011443
 -105.5862576   270.45253146  468.32826542  514.89082352]","[ 776.25037965  379.34745599  597.35812943  603.40934015  404.91588643
  687.08486422  224.60034836  480.85116402  945.6586583   780.62011494
  172.64700064    6.81445467  828.02596736  608.60507955  212.25900137
  409.3614363   392.33382372  552.24535596  334.19205557]","[ 627.06818192  571.93988593  440.44408965  494.33456159  346.03723484
  569.74230596  450.3153462   342.34794138  340.70687939  421.73280016
  403.41573297  765.82613323  174.14077729  654.89271581  578.61987052
  503.641641    430.15663113  498.33248928]","[ 214.10424087  208.35948401  241.69832981  777.55935152 -155.55582407
  507.78169761  333.50563621  214.10424087  279.83997688  176.75693641
  619.36815829  270.39692635  562.90368441  465.94939642  407.77597751
  440.05451636  327.3375102   651.92516009  267.72471898]","[ 140.0703908   351.90403358  184.10935645  385.1802323   156.89057106
  310.67683353  352.00588122  487.30049614  267.73128458  469.4115584
  207.84524455  290.3799675   161.33067331  256.12708763   -7.04880663
  390.36875666  650.27263901  445.66724848  192.79760222]"
"[ 117.24116413  -29.19297927   95.09798289  348.82750166  117.24116413
  -29.19297927  117.24116413  -29.19297927    2.49535454    5.83720059
  117.24116413  159.24381021  -70.35472181    5.83720059  117.24116413
   53.31280009   42.14310231   20.59173514   95.09798289]","[ -41.82865952  349.79479192  278.7680509   261.63949372  714.71120569
   88.27322094  115.4949953   482.89636023  323.22099128   36.65376943
 -127.22232361  216.24517888   38.9020868  -107.00004568  583.13207526
   36.65376943 -161.72803742  -65.810819    173.25452546]","[ -28.09051466   75.49260475  322.03518032  574.12829645  764.97483271
  202.50225473   65.47524574  110.41719552 -153.81946807   23.06083964
  573.5030623    31.40279104  439.71340935 -113.45659057  -65.05206085
   17.50287622  107.1166701   644.13546745  322.03518032]","[ 713.7386171   597.78731661  514.77676969  390.89547434  449.3461874
  581.74892877  573.2330581   624.91720017  548.23079338  649.16594055
  807.48191627  604.26817977  944.27648491  629.29248288  886.83992245
  586.81809056  719.4130352   792.45989774  550.57110889]","[ 501.69916631  331.69689778  602.2501165    -5.60891088  288.42415644
  292.755       428.33751849  671.27308826  462.09701616  461.68427737
  312.52952316  113.99960932  433.08721414  575.29219804  103.11880046
  212.93782608  270.58822097  402.26689205  610.72518537]","[ 329.75595283   28.72578962  373.7600879   238.53905893  577.67914048
 -161.07672551  132.49707334  535.73190309  237.01589253  630.08633341
  548.06640366   13.69840337  483.04197431  325.86706896  247.85237507
  374.45445389  377.86164438  137.46426306  577.67914048]","[ -36.96311898  402.28702791   -4.31552964  499.34361413  222.77038083
  441.62374041   -0.95755059  444.33983274  509.09862171  146.62706219
  669.25897378  553.57625959  -47.21357573  111.17859487  725.15229779
  438.22314257   25.81008572  317.42615061  194.12931883]"
"[  30.42179489  252.67933594   88.35076036  -19.67695884  -86.49290316
  234.3076816    -3.33002959  190.25192888  572.9797162   541.35858567
  190.25192888   50.35541558  346.37012075   88.35076036  190.25192888
  190.25192888   50.35541558   -3.33002959  190.25192888]","[-184.11448447  560.51331947  891.54498818  211.79528458  450.2865578
  347.58595244  252.84192024  467.540059   -207.60731325  771.82477172
  544.22475463  509.92282108  405.00805899 -168.06921451  -18.76843434
   77.08319594  467.540059   -108.00199295  396.22174856]","[ 500.74482574  141.0663277   238.67171323  291.39292895   89.26033906
  117.67783705   71.98283667  191.6529129   256.44858329  571.41369034
  466.67052413  495.47079403   89.26033906   66.87272922  -83.18798356
  119.58500385  192.08362094  215.40103796 -164.6554737 ]","[ 648.28302945  511.79589721  492.40618673  405.30523452   55.11727795
  255.72584103  566.05298076  534.45933445  829.39752687  536.1170438
  161.84968737  532.5965713   840.64407675  697.86523453  664.61363105
  951.64202119  629.63745439  819.87337041  695.69117402]","[ 453.57009181  200.89311395  480.09592038  507.74972299  393.76608589
  431.84319175  489.37937     246.71858838  240.72753254  216.1326387
  541.17422511  531.86027699  263.04850065  422.87077132  310.61323263
  238.63102034  458.14494307  286.86059009  471.91829945]","[  2.12619693e+00   4.61904167e-01   3.61468457e+02   3.35203099e+02
   1.52920549e+02   3.92498825e+02   2.14430339e+02   5.04773149e+02
  -1.31975945e+02   5.06456791e+02   5.30376200e+02   5.31116601e+02
   1.90157358e+01   1.27919448e+02   2.49015161e+02   5.53413226e+02
   1.29553483e+02   5.06456791e+02   1.75022719e+02]","[ -16.46588308  379.68422431  446.94481362  552.19785919   80.4263974
  367.97842571   42.80637108  404.82734429  547.789724    625.70608501
  494.26454465  411.38862418  518.5386027   510.35755165  194.48063605
  128.4770809   314.33023085  276.51241975  630.52268368]"
"[  -5.57323529  140.71429158  290.8718827   140.71429158  402.68831221
   77.01841654  -41.37380479   -5.57323529  140.71429158  140.71429158
  402.68831221  136.63107466   77.01841654  163.8497365   -94.43004993
   -5.57323529  140.71429158  407.6315096   132.39782086]","[ 286.3554854   394.44100847  -11.2641357  -107.65380683 -239.48427579
  509.96053328  -27.59848544 -201.20943238  389.25422507  147.48707318
  -88.00691094  574.20678106  499.33106896  513.58884375  317.70633553
  383.7374977   367.43514688  -88.00691094  467.32068887]","[ 423.29269375   28.4399679   713.64087494  294.67819961 -137.73745126
  -28.2673488   430.69953477 -145.02191807  653.69712511   74.73303817
  242.33703895   -9.49561745  502.79787514  186.91779104  320.84964053
  107.58684929  361.32309676  320.84964053  488.33105745]","[ 586.19887616  847.7510765   664.35548958  685.22542605  406.94410991
  452.34552426  729.59105622  779.12021722  256.78154309  421.81486169
  290.11501001  418.44176435  662.74027719  748.93162904  679.83882454
  803.5565987   771.68168413  629.95308133  209.12997982]","[ 385.7644642   424.84915326  422.28456219  382.10380553  379.748967
  392.44333776  381.93138194  333.30175923  451.28245573  465.32195977
  325.40207412  251.39311156  480.15182964  188.02065709  485.23324544
  519.51382005  185.7619122   542.90013895   74.5815175 ]","[ 425.00051808  239.53558083  406.38689063  333.24576152  437.7977362
 -313.76026502  238.76454018  324.532475    -61.65263618 -109.41149247
  411.75609642  215.29921265  568.79383088  312.40878698  333.24576152
  508.58975988  608.70702311  746.92528508  257.22223602]","[ 779.05426241  578.46051894  494.92692417  140.59841287  -46.18661103
  127.06422727  424.15400065  533.54023034  -98.00020311 -235.20060178
  282.11457512  395.3515616    84.7130227    55.30899222  236.72921061
  523.47175078  189.96630673  389.96127716  502.75954186]"
"[ 403.01084361  373.00882137  391.66029726  -19.62253997  -19.62253997
  -80.23825225  -65.43009224  141.97921426  391.66029726  -19.62253997
  186.71689703  322.83814759  141.97921426  511.60603182  391.66029726
  -19.62253997   73.89250738  -19.62253997  -80.23825225]","[-173.16973789  421.89637759   27.58621986  459.40397965  492.08644139
  461.37272885  -59.07471311  446.62700845  189.05843604  527.56794799
  203.01465335   18.21684669  257.30142079 -123.24332557 -184.16543454
  491.57705503  190.01600805  679.273375    461.37272885]","[ -82.25499426  297.22782519  170.01664478   54.27784722    7.56475865
   92.02693548  111.89323625  284.59102219  479.00351126  271.7868537
  -11.02485418  -93.98068874  468.99072249  455.93908021  -11.02485418
  134.21964627   21.61231337  106.59376645  137.83317202]","[  934.29775163   780.73117793   543.78963383   596.81645204   504.93448943
   905.09426747   808.98710152   686.03188192   624.30873992   611.36341075
   837.06662198   752.85434873   500.64881448   671.03455949   516.3513442
   773.35436439   728.767344    1022.59627405   729.76020878]","[ 337.24526963  167.54621362  343.13802596  452.36090664  232.69082917
  479.32387019  372.70829835  598.43322906  459.22284862  399.28491913
  529.57748027  464.80060469  444.73860711  431.8143325   580.71174005
  335.94893091  359.76632804  245.50212174  500.73550725]","[ 186.31940035  265.68763462  193.7501324   138.37770325 -143.09486353
  403.71361902  504.75905378  442.61994314  136.026572    -34.51348287
  431.32324969  186.31940035  285.15804148  277.27755275  230.78931205
  354.11292549  316.05436882  338.28260988  233.9178628 ]","[  90.36354317  288.92879424  311.6200277   343.12892009  181.41381242
  548.60762716   71.97236219  216.10502881  486.07034643  347.02654424
  190.12596681  366.95314869  439.50778579  346.50372029   78.70287857
  715.5347558   615.52991127  110.67701014]"
"[ 594.5198624     6.89770585  494.11913861  -39.5253064   389.46502163
 -343.03558798 -343.03558798  265.7282976     2.32674066  -10.82153059
  -10.82153059  -10.82153059  225.64298371    2.32674066  -10.82153059
  236.26549252  146.4092685     2.32674066  -10.82153059]","[ 279.37901989  -35.36817209  647.04004014 -114.06703715  179.95201938
  356.75377608  279.37901989  -35.36817209   35.55133094   -7.66960868
   13.39375106  -66.79419125 -191.43407927  768.03801496  272.99680915
 -214.12038199  190.93439155  109.77834288  -16.80261288]","[ -30.84194737  182.24029899  298.08584936  -12.14662292  264.43144679
  -93.6401281   -27.37841204  267.62054478    6.88159385  437.11877467
  -27.68505498  593.3241322   480.44800363  -44.11119737  -27.37841204
  192.57730984  154.55189062  613.95156647  219.70525672]","[ 561.71921552  724.95160887  726.32313845  212.83496543  839.12196511
  813.77762883  784.65414794  709.37799698  637.15152401  483.14016906
  707.33061378  824.06036563  525.02906371  780.20653556  651.63005714
   -1.60771585  782.71957195  740.80516845  372.50468761]","[ 255.87322839  338.15524485  535.04225396  446.15405137  733.87035991
  324.78196748  530.53206278  386.9620614   436.63733314  447.14645611
  491.93666509  395.07409482  466.91109633  270.57578137  539.32474716
  414.72009769  350.47877469  365.4986139   384.99256887]","[ 203.15233649  782.47790058  478.20917052  423.59006146  269.73423209
  160.41243456  168.33260814  224.53406906  630.8198839   -57.43658154
  124.26788092  611.69499242  162.50557417  391.36776207  230.05063659
  160.41243456  330.18637509  490.49293552  212.23030589]","[ 565.34123658  -27.80188813  187.89647724  -63.14357095  133.6430418
  552.07690085  140.31564784   47.64211582  383.14534985  185.67487902
  469.69123545   11.18963346  231.29869603   49.00120601  287.25296676
  659.69679246  125.87495911  182.9247475   272.9104536 ]"
"[ 584.0509747   189.48556289  -43.57641357  335.13479482   55.14230237
   52.11032912  411.14161519  233.11114097   55.14230237  584.0509747
  189.48556289  189.48556289  313.29539906   22.42423661 -112.73430405
  584.0509747   189.48556289  584.0509747   189.48556289]","[ 607.02250509  538.45414067  198.17252215  677.18428548  388.49380406
  315.29553883  172.21999163  -40.02492096 -143.05269795   83.7522895
  234.13277527  -62.00102032   12.73676692 -143.05269795  146.6264164
   94.23540008  201.9321883   322.57658883 -140.99518119]","[ 503.85585261  101.80469609  607.28584239  393.74160154  165.34422405
  577.29072162 -178.45550542   41.18212882  460.12154561  641.4499227
  165.34422405   52.83227353  352.35139217  -79.1219106     7.10414974
  243.60485509  495.71754581  444.48538069  -60.62512566]","[  37.00287233  521.2232176   709.55869678  603.87404305  953.77433384
  615.01725435  463.34629085  795.8514326  -102.14438625  629.47182274
   41.47655899  777.71517013  610.1280495   887.03792056  533.92167091
  598.19817866  921.46118798  211.81551726]","[ 544.43251528  585.17931789  413.08823225  275.3585958   680.36610573
  397.3784985   423.53220239  302.95915014  338.84686635   51.19624693
  108.22236708  534.08854635  561.13526398  245.37872695  284.88510465
  510.25110077  -10.13005938  193.75276132  493.82905647]","[ 393.15673503  233.06091048  219.94705397  218.64111314  249.15316862
  121.95612998  339.28724315  363.31802636  370.42494592  173.35045037
  510.43694113  -72.15848454  451.89720807  188.17133001  310.56375409
  354.69953132  354.69953132  294.39996907  269.67365604]","[ 413.05081742  104.41625183 -116.74592021  237.50181961  490.37906741
  422.00593319  542.14685578  155.87791219  126.88481433  551.10263023
  341.86996689  395.72588746  367.70377246  207.05316584  508.45273544
  199.91718882  690.24962696  625.85998705  236.13153732]"
"[ 323.3281672   112.53737326  563.78674503    2.19917576  127.72565701
   21.64673879  144.92445843  563.78674503    2.19917576  563.78674503
    2.19917576  323.3281672   112.53737326  563.78674503    2.19917576
  331.96960013  233.27464618    2.19917576  -48.75464395]","[ 297.77162519   93.96768897  470.72576233   -8.25350086  129.02677131
  671.44085786  121.71359128  392.97988295  214.69524625  -78.6304168
  -25.67339527  420.26323912  213.94120807  162.87649723   93.96768897
  397.52749476  503.31051919  522.44140582 -326.15013136]","[ 585.95630744  458.72127756  160.12351769  -87.96061748   52.34494133
  234.841787    -57.06117107   52.34494133  -73.56959437   78.83804897
    5.33579572  626.2112254  -247.01775267  -41.69409369  -61.29461715
  347.30918667  638.14469932   39.99419312  336.65488441]","[ 289.13803885  249.93624511  323.56641728  779.58909187  191.07987047
  102.95095206  530.80453523  674.24506018  686.24272238  919.52671025
  605.46400332  698.05849704  554.75173761  247.39632906  690.11084562
  653.82755107  565.94151619  489.06290081  691.60803171]","[ 569.48078598  492.17448185   48.00109468  484.3073865   527.57339937
  527.99001916  367.29369043  416.78012564  187.8771667   245.93764595
  417.83174882  158.12431069  417.99281654  286.08826636  373.72921144
  326.36527554  249.08280041  380.62689143  329.74939638]","[ 539.08603996  244.91566389  181.21976168  183.91942991  438.0995122
 -246.15422578  349.31539889  314.38841396  508.83602072   24.14979267
  314.38841396  395.19917138  562.2174009    69.64696973 -196.51731623
  550.17593024  428.42959817  -29.61440932  317.01572147]","[ 309.79942995  639.49420959  399.81764965  351.17060956  275.96585468
  309.46926892  521.12744391 -269.23841103  408.26670866  132.269784
  337.80599208   54.47009738  508.75192895  537.17664091  243.55194304
 -135.28775559  395.75879672  514.54740238  667.43522742]"
"[ 131.53811976   55.3507851    80.93786377  131.53811976  273.18502753
  320.93503248  273.18502753  320.93503248  -50.56847035   80.93786377
 -108.77252721   40.1221863   -50.56847035  -50.56847035   80.93786377
   24.72387627   75.3369166   -50.56847035   80.93786377]","[  77.68249931 -152.33204462  827.26621439  -60.27768142  220.0106331
  547.25049322  452.70586609  253.30973633  -85.18532431  717.8167322
  -52.32611316  -26.0330749   -66.78978299  861.67423099  202.52467971
  505.86930305   53.18475276  253.30973633  182.18895578]","[ 477.86897273  396.56511407  120.27327824  295.61771698  552.62259115
 -195.05509161  -92.33309525  381.95966737  172.05971834  327.06637972
   70.17853936  359.88715652  -92.78619085  325.45713089   19.12551851
  179.1350867   477.86897273   87.24523433  449.27997745]","[ 831.19655398  393.54687277  569.15688347  711.58860576  381.62836556
  971.25253627  764.03311735  239.90057529  596.07649954  801.37728173
  903.78454701  602.05265418  668.40395371  323.60515388  678.37083976
  768.88302336  581.87499121  874.31690331  660.37710119]","[ 208.40837458  466.81108776  155.29906971  279.31332461  391.84238576
  403.57658033  363.39703364  492.0423396   366.50103409  517.66565152
  240.28476325  536.64865691  284.16099661  494.67581588  419.73926083
  443.79283674  409.58859511  253.2580823   316.35494193]","[ 479.90679835  322.4305104   267.70933974  231.42653991 -103.59109442
  406.26729254  275.85052025  212.84281403  489.11201839  285.46092064
  224.11761542  398.1206214   533.44140234  133.08935337  533.56098831
  224.11761542  -41.5102767    58.92064816  380.35945873]","[ 424.03330543  -65.49238687   48.47905742  120.5976688   -53.25493505
  215.70692484  520.51231668  233.38102803  450.1692254   299.3710903
  130.56958945  220.1343397   191.73076069  531.30435204 -138.15078082
  209.03112771  328.99828488  240.90257207  396.57478065]"
"[ 291.61885961   99.80382573  503.20367801  180.23597925  574.6724329
  517.22326801  545.33014389  379.89224994   99.80382573   13.5862196
   99.80382573   13.5862196   503.20367801   99.80382573   13.5862196
  -14.26823041  -17.69932116   13.5862196   574.6724329 ]","[-140.22233714 -275.08472589  439.96553708 -218.30930673  144.45799223
  391.23885243  170.15208416   33.68517054  627.00510575  439.96553708
  261.672682    608.89377372  479.14893763  304.63184198   13.71332422
  434.49770622  666.59317076  469.74142943  370.92549238]","[ 182.61921093  123.26649961  470.29885073  -12.84745827   -2.02006982
  471.01733395   94.975365     51.33691402  250.87481187  122.76121317
  445.25534024  291.83209504   46.99254468  217.44470903  515.41517019
  479.83733609   89.38286265    6.79171976  515.41517019]","[ 220.18070908  240.54456547  174.13796148  763.42051304  879.45075323
  969.86477728  789.89053854  386.62426733  424.23585035  538.9864159
  526.27542048  652.73991606  654.59746441  723.2272093   495.76640539
  870.13070612  470.17167247  197.61287876  669.48028089]","[ 476.02929671  349.20999543  495.19625238  366.64686482  742.43167255
  306.19115097  471.98033326  133.16861999  171.07723695  234.18570885
  148.58465694  365.28923369  215.91083035  339.34173338  317.92185734
  116.05985753  346.4319361   498.86386093  415.65126623]","[ 489.59563176  247.51756492  401.98805298  436.76076072  247.59113869
  409.4306614   436.76076072  249.49054235  598.72067524  316.03459916
 -115.30295427  318.19216256  317.80839683  288.94716775   80.36501492
  524.20833703  715.66803406  447.47652872  353.92650634]","[ 469.85080655  224.29757941  356.22254582   -3.72382021  479.02009914
  298.44089663  641.63102224   46.29324211  259.56303593   96.70190483
  630.35339864  771.57543449  -55.01654933  302.10615402  485.44219269
  424.08704621  117.46027968  479.80578881 -111.75684737]"
"[ 467.65223684   24.18076966   54.4559968   181.08402482  181.08402482
  328.55730235  455.79144327  199.29578854  181.08402482  328.55730235
   24.18076966  257.19266275  328.55730235  122.71730109  383.4105079
  -41.94576716  122.71730109  667.57925288  181.08402482]","[  11.02522677  516.07411238  -17.99180125 -204.90787084   26.03308873
 -194.7011705  -114.72867395   45.451176    226.28273121  -40.9359627
    7.62212872   26.03308873   51.25990848  641.63395046  556.30702963
 -143.62449023 -296.17018645   -2.76001584  -66.50272067]","[ 230.52927631  607.10638725   82.42250161  493.5454933   187.31537414
  703.06996098  255.64034216  317.11373597  353.27596932  385.27426744
  -29.54303908  622.08350178 -139.94481212  111.1588034   362.41899448
  -33.996429    -57.22989525  634.48455034   82.42250161]","[ 589.96534436  361.04421883  755.47873926  288.38618159  704.53846099
  707.77447217  251.60563467  445.22244684  799.32256363  477.34693767
  649.85849122  411.47904999  501.81323102  845.41332865   59.9902965
  753.51678494  658.9299098   241.66203239  582.14961676]","[ 509.55128052  170.13427867  497.05492874  261.31001539  189.26762833
  198.55091257  470.67216424  571.68640737  353.54288272  383.76902897
  340.1411769   473.86530295  426.29430904  432.69090271  243.38821231
  298.78209974  344.74331317  420.38507459  364.13777165]","[ 405.41674071  562.56748238  198.19684877  380.82696562  350.83613346
  265.54636159    2.28701234  224.7479101  -248.81021007  664.16011612
  664.16011612  203.25970912  786.36354262  369.24102925  573.35592992
  325.87841982  171.55217789   38.14835837  417.5181198 ]","[ 743.26169804  729.36708351  421.83493464  224.01663333  463.79979207
  555.06733034   38.73217002  585.1815801   426.60651351  259.07667823
   52.58973698   74.94571468  -23.72998713  -38.52317018  166.36127687
  612.44957002  426.76601039  638.36107024  559.23257302]"
