policyParams0,policyParams1,policyParams2,policyParams3,policyParams4,policyParams5,policyParams6,policyParams7,policyParams8,policyParams9
"[-0.09270572 -0.29917825  0.19168071 ...,  0.025       0.032      -0.023     ]","[ 0.09189485  0.0215609  -0.07531221 ..., -0.004       0.003      -0.00099999]","[ 0.27808646  0.16553727  0.04607439 ..., -0.003      -0.006       0.008     ]","[ 0.34647115  0.01153719 -0.34959272 ..., -0.0015     -0.0185      0.01749999]","[-0.11451151 -0.26545627 -0.01203533 ...,  0.0105     -0.0235      0.00549999]","[ 0.04600436 -0.3325792  -0.09500981 ..., -0.00200004 -0.006      -0.006     ]","[ -7.74684785e-02   3.61027353e-05   3.42606672e-01 ...,   8.25866373e-10
  -1.00000017e-03  -1.79999991e-02]","[ 0.13632031  0.333216    0.25368846 ...,  0.002      -0.002       0.008     ]","[-0.25704336  0.3063144   0.05856361 ...,  0.01        0.008       0.009     ]","[ 0.10116254  0.11204296  0.09098947 ..., -0.013      -0.018      -0.003     ]"
"[-0.08820573 -0.30367825  0.19218071 ...,  0.0275      0.0325     -0.0185    ]","[ 0.09039485  0.02006095 -0.07681217 ..., -0.0055      0.0015     -0.00249999]","[ 0.27908646  0.16753727  0.04507439 ..., -0.004      -0.005       0.012     ]","[ 0.34797115  0.00803719 -0.34909272 ..., -0.001      -0.019       0.02099999]","[-0.1160115  -0.26695626 -0.01153533 ...,  0.009      -0.022       0.00699999]","[ 0.04450436 -0.3310792  -0.09650981 ..., -0.00150004 -0.0065     -0.0065    ]","[-0.07846848 -0.0009639   0.34260667 ...,  0.001      -0.001      -0.019     ]","[ 0.13532031  0.333216    0.25468846 ...,  0.001      -0.002       0.007     ]","[-0.25604336  0.3053144   0.05956361 ...,  0.011       0.007       0.01      ]","[ 0.10016254  0.11104296  0.09198947 ..., -0.012      -0.019      -0.004     ]"
"[-0.08970573 -0.30217825  0.19068071 ...,  0.026       0.031      -0.018     ]","[ 0.08839485  0.01806097 -0.07681217 ..., -0.0055      0.0005     -0.00449999]","[ 0.27808646  0.16653727  0.04607439 ..., -0.002      -0.006       0.014     ]","[ 0.34697115  0.00703719 -0.34809272 ..., -0.002      -0.018       0.02199999]","[-0.11801151 -0.26795627 -0.01053532 ...,  0.01       -0.025       0.00499999]","[ 0.04600436 -0.3325792  -0.09700981 ..., -0.00200004 -0.007      -0.007     ]","[-0.07896848 -0.0004639   0.34310667 ..., -0.0005     -0.0025     -0.0175    ]","[ 0.13382041  0.33271604  0.25318846 ...,  0.0015     -0.0035      0.0075    ]","[-0.25454336  0.3048144   0.05906361 ...,  0.0135      0.0075      0.0125    ]","[ 0.10066254  0.11054296  0.09248947 ..., -0.0115     -0.0195     -0.0045    ]"
"[-0.09270573 -0.29717825  0.18668071 ...,  0.024       0.032      -0.018     ]","[  8.58948526e-02   1.75609843e-02  -7.53121973e-02 ...,  -4.00000415e-03
  -1.82429544e-09  -5.99998625e-03]","[ 0.27558646  0.16703727  0.04557439 ..., -0.0035     -0.0085      0.0145    ]","[ 0.34697115  0.00603719 -0.34809272 ..., -0.003      -0.017       0.02199999]","[-0.11901151 -0.26895627 -0.01153532 ...,  0.011      -0.03        0.00499999]","[ 0.04500436 -0.3315792  -0.09600981 ..., -0.00100004 -0.006      -0.007     ]","[-0.07746848 -0.00096386  0.34560667 ...,  0.001      -0.004      -0.017     ]","[ 0.13232041  0.32921604  0.25468846 ...,  0.002      -0.004       0.009     ]","[-0.25254337  0.3028144   0.06106361 ...,  0.0135      0.0075      0.0125    ]","[ 0.10116254  0.10704296  0.09298947 ..., -0.011      -0.02       -0.007     ]"
"[-0.09270573 -0.29817825  0.18668071 ...,  0.025       0.03       -0.02      ]","[ 0.08489485  0.01856098 -0.0733122  ..., -0.005      -0.001      -0.00699999]","[ 0.27558646  0.16603727  0.04357439 ..., -0.0015     -0.0085      0.0155    ]","[ 0.35097115  0.0040372  -0.35209272 ..., -0.002      -0.02        0.02599999]","[-0.11951151 -0.26945627 -0.01103532 ...,  0.0115     -0.0305      0.00449999]","[ 0.04600435 -0.3325792  -0.09500981 ..., -0.00200004 -0.006      -0.005     ]","[-0.07746848 -0.00096386  0.34560667 ...,  0.002      -0.004      -0.017     ]","[ 0.13132041  0.32821606  0.25568846 ...,  0.003      -0.005       0.01      ]","[-0.25104337  0.3023144   0.06256361 ...,  0.015       0.006       0.01      ]","[ 0.10116254  0.10604297  0.09398947 ..., -0.01       -0.021      -0.005     ]"
"[-0.09170573 -0.30017825  0.18668078 ...,  0.027       0.032      -0.022     ]","[ 0.08389486  0.02056098 -0.0713122  ..., -0.003      -0.003      -0.00699999]","[  2.76086462e-01   1.64537275e-01   4.40743894e-02 ...,   2.65059579e-09
  -6.99999917e-03   1.50000006e-02]","[ 0.34997115  0.0030372  -0.35109272 ..., -0.001      -0.021       0.02699999]","[-0.11701151 -0.26795627 -0.01153532 ...,  0.009      -0.032       0.00399999]","[ 0.04800435 -0.3345792  -0.09500981 ..., -0.00400004 -0.008      -0.005     ]","[-0.07696848  0.00053613  0.34410668 ...,  0.0035     -0.0025     -0.0155    ]","[ 0.13082041  0.32871605  0.25518846 ...,  0.0035     -0.0055      0.0105    ]","[-0.25104337  0.3023144   0.06256361 ...,  0.015       0.006       0.011     ]","[ 0.10116254  0.10404297  0.09398947 ..., -0.01       -0.024      -0.004     ]"
"[-0.08970573 -0.30017825  0.18668078 ...,  0.029       0.032      -0.024     ]","[ 0.08339487  0.02206097 -0.06981222 ..., -0.0015     -0.0045     -0.00649999]","[ 0.27508646  0.16353728  0.04307439 ...,  0.001      -0.008       0.016     ]","[ 0.34947115  0.0025372  -0.35059272 ..., -0.0005     -0.0215      0.02749999]","[-0.1175115  -0.26645627 -0.01003533 ...,  0.0075     -0.0325      0.00549999]","[ 0.04900435 -0.3355792  -0.0960098  ..., -0.00500004 -0.007      -0.004     ]","[-0.07846848 -0.00196387  0.34260668 ...,  0.005      -0.004      -0.013     ]","[ 0.12882041  0.32971605  0.25618845 ...,  0.00250001 -0.0065      0.0095    ]","[-0.24804337  0.2973144   0.06556361 ...,  0.017       0.006       0.015     ]","[ 0.10166254  0.10454297  0.09348947 ..., -0.0095     -0.0245     -0.0035    ]"
"[-0.08770577 -0.30217823  0.18568078 ...,  0.03        0.032      -0.025     ]","[ 0.08489485  0.02356096 -0.06831222 ..., -0.003      -0.005      -0.00499999]","[ 0.27608646  0.16353728  0.04407439 ...,  0.002      -0.009       0.016     ]","[  3.49971145e-01   3.03719556e-03  -3.51092718e-01 ...,   1.10518120e-09
  -2.29999987e-02   2.79999932e-02]","[-0.1170115  -0.26495627 -0.00753533 ...,  0.006      -0.033       0.00499999]","[ 0.05000435 -0.3365792  -0.0970098  ..., -0.00600004 -0.006      -0.005     ]","[-0.08046848 -0.00496387  0.34260668 ...,  0.005      -0.004      -0.01      ]","[ 0.12932041  0.32821606  0.25568846 ...,  0.00100001 -0.005       0.008     ]","[-0.24754337  0.2978144   0.06606361 ...,  0.0155      0.0065      0.0145    ]","[ 0.10116254  0.10504297  0.09298947 ..., -0.01       -0.026      -0.006     ]"
"[-0.08970577 -0.30017824  0.18668078 ...,  0.03        0.031      -0.026     ]","[ 0.08439485  0.02306096 -0.06781222 ..., -0.0025     -0.0045     -0.00449999]","[ 0.27558647  0.16303728  0.04457439 ...,  0.0025     -0.0105      0.0145    ]","[ 0.35197114  0.00503719 -0.35209272 ...,  0.002      -0.026       0.02999999]","[-0.1185115  -0.26445627 -0.00603533 ...,  0.0075     -0.0345      0.00549999]","[ 0.05000435 -0.3385792  -0.1000098  ..., -0.00300004 -0.01       -0.005     ]","[-0.07996848 -0.00446387  0.34310668 ...,  0.0045     -0.0045     -0.0105    ]","[ 0.13132041  0.33021606  0.25368846 ...,  0.00200001 -0.004       0.007     ]","[-0.24754336  0.2978144   0.06507166 ...,  0.0145      0.0075      0.0135    ]","[ 0.10016254  0.10504297  0.09198948 ..., -0.01       -0.027      -0.008     ]"
"[-0.09070577 -0.30217824  0.18768078 ...,  0.031       0.033      -0.029     ]","[ 0.08489485  0.02256096 -0.06531222 ..., -0.002      -0.003      -0.00299999]","[ 0.27558647  0.16203728  0.04257439 ...,  0.0015     -0.0075      0.0165    ]","[ 0.35297114  0.00603719 -0.35309272 ...,  0.003      -0.025       0.02899999]","[-0.1170115  -0.26295627 -0.00453533 ...,  0.006      -0.036       0.00499999]","[ 0.04950435 -0.3380792  -0.1005098  ..., -0.00250004 -0.0095     -0.0045    ]","[-0.08046847 -0.00496387  0.34460668 ...,  0.006      -0.003      -0.012     ]","[ 0.13332041  0.33221606  0.25168846 ...,  0.00300001 -0.001       0.006     ]","[-0.25004336  0.2973144   0.06457166 ...,  0.013       0.009       0.015     ]","[ 0.09816254  0.10504297  0.09098948 ..., -0.012      -0.029      -0.008     ]"
"[-0.08820577 -0.30367823  0.18818078 ...,  0.0325      0.0325     -0.0285    ]","[  8.18948566e-02   1.95609648e-02  -6.53122224e-02 ...,  -8.60899940e-10
  -3.00000164e-03  -9.99986418e-04]","[ 0.27508647  0.16253728  0.04507439 ...,  0.001      -0.005       0.018     ]","[ 0.35347114  0.00553719 -0.35359272 ...,  0.0035     -0.0245      0.02849999]","[-0.1180115  -0.26195627 -0.00453533 ...,  0.005      -0.036       0.00499999]","[ 0.05100435 -0.3395792  -0.0980098  ..., -0.00400004 -0.012      -0.006     ]","[-0.08196847 -0.00646387  0.34310668 ...,  0.0075     -0.0025     -0.0115    ]","[ 0.13232041  0.33121606  0.25268846 ...,  0.00200001 -0.002       0.005     ]","[-0.24954336  0.2968144   0.06507166 ...,  0.0135      0.0095      0.0145    ]","[ 0.09716254  0.10404297  0.09198948 ..., -0.011      -0.03       -0.007     ]"
"[-0.09070577 -0.30017824  0.18968078 ...,  0.031       0.035      -0.028     ]","[  8.08948568e-02   1.85609652e-02  -6.43122221e-02 ...,   1.99999913e-03
  -4.00000164e-03   1.35654246e-08]","[ 0.27408647  0.16253728  0.04507439 ...,  0.002      -0.005       0.019     ]","[  3.49971142e-01   4.03719408e-03  -3.50092717e-01 ...,   4.79753695e-10
  -2.29999987e-02   3.09999934e-02]","[-0.1200115  -0.26095627 -0.00353533 ...,  0.002      -0.033       0.00599999]","[ 0.04950436 -0.3380792  -0.09850979 ..., -0.00350004 -0.0125     -0.0065    ]","[-0.08446847 -0.00896386  0.34160668 ...,  0.008      -0.002      -0.014     ]","[ 0.13082041  0.32971606  0.25418846 ...,  0.00250001  0.0005      0.0035    ]","[-0.24804336  0.2973144   0.06357166 ...,  0.015       0.01        0.018     ]","[ 0.09316254  0.10204297  0.09298948 ..., -0.008      -0.035      -0.005     ]"
"[-0.09020577 -0.29967824  0.18918078 ...,  0.0315      0.0345     -0.0275    ]","[ 0.07789486  0.01656097 -0.06731219 ...,  0.003      -0.006      -0.00299999]","[ 0.27558647  0.16303728  0.04657439 ...,  0.0015     -0.0045      0.02049999]","[ 0.3489712   0.0040372  -0.34909272 ...,  0.002      -0.022       0.03299999]","[-0.1230115  -0.26495627 -0.00053533 ...,  0.003      -0.032       0.00499999]","[ 0.05000436 -0.3365792  -0.10000979 ..., -0.00500004 -0.013      -0.007     ]","[ -8.44684674e-02  -8.96386423e-03   3.40606685e-01 ...,   8.00000067e-03
  -4.59869975e-09  -1.19999997e-02]","[ 0.1333204   0.33121606  0.25168846 ...,  0.00200001  0.001       0.005     ]","[-0.24604336  0.2973144   0.0635717  ...,  0.016       0.011       0.017     ]","[ 0.09216254  0.10304297  0.09198948 ..., -0.007      -0.036      -0.006     ]"
"[-0.08570577 -0.30217824  0.19268078 ...,  0.036       0.038      -0.025     ]","[ 0.07589486  0.01456097 -0.07131219 ...,  0.003      -0.008      -0.00499999]","[ 0.27508647  0.16153728  0.04607439 ...,  0.003      -0.003       0.01999999]","[ 0.3494712   0.0045372  -0.34959272 ...,  0.0015     -0.0225      0.03249999]","[-0.1230115  -0.26495627  0.00046467 ...,  0.003      -0.032       0.00499999]","[ 0.05100436 -0.3365792  -0.10200979 ..., -0.00300004 -0.013      -0.01      ]","[-0.08596847 -0.01046386  0.33910668 ...,  0.0095      0.0005     -0.0105    ]","[ 0.1333204   0.33121578  0.25168846 ...,  0.00400001  0.003       0.005     ]","[-0.24654336  0.2988144   0.0630717  ...,  0.0155      0.0145      0.0195    ]","[ 0.09166254  0.10354297  0.09148948 ..., -0.0075     -0.0365     -0.0065    ]"
"[-0.08270577 -0.30617824  0.19668078 ...,  0.04        0.043      -0.024     ]","[ 0.07539486  0.01406097 -0.07281219 ...,  0.0025     -0.0075     -0.00349999]","[ 0.27508647  0.16053728  0.04707439 ...,  0.003      -0.004       0.02199999]","[ 0.35047118  0.00653719 -0.35059272 ...,  0.0015     -0.0205      0.03049999]","[-0.1220115  -0.26395627 -0.00053533 ...,  0.002      -0.033       0.00599999]","[ 0.05000436 -0.3355792  -0.10100979 ..., -0.00400004 -0.014      -0.011     ]","[-0.08746847 -0.00996389  0.33760682 ...,  0.009       0.002      -0.009     ]","[ 0.1323204   0.33021578  0.25268846 ...,  0.00600001  0.002       0.004     ]","[-0.24504337  0.3003144   0.0615717  ...,  0.014       0.013       0.021     ]","[ 0.08966254  0.10254297  0.08848948 ..., -0.0075     -0.0365     -0.0045    ]"
"[-0.08370576 -0.30517825  0.19768077 ...,  0.039       0.042      -0.025     ]","[ 0.07489487  0.01356098 -0.07131219 ...,  0.003      -0.009      -0.00399998]","[ 0.27408647  0.15953728  0.04607439 ...,  0.003      -0.004       0.02199999]","[ 0.34897118  0.00503719 -0.35109271 ...,  0.003      -0.022       0.02999999]","[-0.1215115  -0.26545627 -0.00103533 ...,  0.0035     -0.0335      0.00649999]","[ 0.05150436 -0.3370792  -0.10050979 ..., -0.00550004 -0.0145     -0.0115    ]","[-0.08846847 -0.00896389  0.33760682 ...,  0.009       0.002      -0.01      ]","[ 0.1313204   0.32921578  0.25268846 ...,  0.00700001  0.004       0.003     ]","[-0.24604334  0.3013144   0.0605717  ...,  0.013       0.012       0.022     ]","[ 0.08916254  0.10404297  0.08898947 ..., -0.009      -0.035      -0.003     ]"
"[-0.08670576 -0.30217826  0.19868077 ...,  0.039       0.038      -0.023     ]","[ 0.07389487  0.01356121 -0.07331215 ...,  0.003      -0.012      -0.00299998]","[ 0.27308647  0.16053728  0.04807439 ...,  0.004      -0.004       0.02399999]","[ 0.34947118  0.00553719 -0.35159271 ...,  0.0045     -0.0225      0.02949999]","[-0.1190115  -0.26595626 -0.00453532 ...,  0.001      -0.036       0.00599999]","[ 0.05350436 -0.3390792  -0.10150979 ..., -0.00350004 -0.0155     -0.0115    ]","[-0.08896847 -0.00946389  0.33710682 ...,  0.0085      0.0025     -0.0105    ]","[ 0.13082043  0.33071578  0.25318846 ...,  0.00550001  0.0045      0.0025    ]","[-0.24704334  0.3013144   0.0595717  ...,  0.014       0.011       0.021     ]","[  8.71625450e-02   1.08042971e-01   8.89894688e-02 ...,  -1.19999965e-02
  -2.99999979e-02   1.13549848e-09]"
"[-0.08920576 -0.29867826  0.19918077 ...,  0.0385      0.0345     -0.0235    ]","[ 0.07289487  0.01356121 -0.07431215 ...,  0.003      -0.012      -0.00399998]","[ 0.27508647  0.15953728  0.05007439 ...,  0.003      -0.005       0.02499999]","[ 0.35097118  0.00503719 -0.35109272 ...,  0.004      -0.021       0.02799999]","[-0.1185115  -0.26645626 -0.00503532 ...,  0.0015     -0.0355      0.00649999]","[ 0.05400436 -0.3375792  -0.09900979 ..., -0.00500004 -0.015      -0.01      ]","[-0.09146847 -0.01196389  0.33560682 ...,  0.006       0.001      -0.012     ]","[ 0.12782044  0.32971575  0.25618845 ...,  0.00550001  0.0025      0.0015    ]","[-0.24654338  0.3028144   0.0600717  ...,  0.0125      0.0115      0.0205    ]","[ 0.08616255  0.10804297  0.08898947 ..., -0.012      -0.028       0.003     ]"
"[-0.08870577 -0.29817826  0.19868077 ...,  0.04        0.036      -0.024     ]","[ 0.07089487  0.01156122 -0.07731215 ...,  0.001      -0.015      -0.00499998]","[ 0.27508647  0.15953728  0.05007439 ...,  0.002      -0.005       0.02599999]","[ 0.35397118  0.00803719 -0.35309272 ...,  0.004      -0.021       0.02699999]","[-0.1215115  -0.26845626 -0.00203533 ...,  0.0045     -0.0365      0.00349999]","[ 0.05450436 -0.3370792  -0.09950979 ..., -0.00550004 -0.0145     -0.0095    ]","[ -9.04684676e-02  -1.19638882e-02   3.35606816e-01 ...,   6.00000113e-03
  -3.14175799e-09  -1.19999999e-02]","[  1.26320517e-01   3.30215746e-01   2.57688450e-01 ...,   5.00000785e-03
   2.00000155e-03   1.01720414e-09]","[-0.24804338  0.3043144   0.06057169 ...,  0.012       0.014       0.023     ]","[ 0.08616254  0.10704297  0.08898947 ..., -0.014      -0.026       0.002     ]"
"[-0.08970577 -0.29617826  0.19768077 ...,  0.04        0.034      -0.027     ]","[ 0.06889487  0.01256121 -0.07931215 ...,  0.001      -0.017      -0.00299998]","[ 0.27558647  0.16003728  0.05057439 ...,  0.0015     -0.0045      0.02649999]","[ 0.35447118  0.00853719 -0.35359272 ...,  0.0035     -0.0205      0.02749999]","[-0.1220115  -0.26795626 -0.00153533 ...,  0.007      -0.034       0.00199999]","[ 0.05600436 -0.3385792  -0.10000979 ..., -0.00400004 -0.013      -0.008     ]","[ -9.14684675e-02  -1.29638881e-02   3.35606816e-01 ...,   6.00000114e-03
  -3.14173293e-09  -1.19999999e-02]","[ 0.12732052  0.32921575  0.25668846 ...,  0.00400001  0.003      -0.001     ]","[-0.24854337  0.3058144   0.05907169 ...,  0.0115      0.0155      0.0215    ]","[ 0.08666254  0.10654297  0.08648947 ..., -0.0135     -0.0235      0.0035    ]"
"[-0.0877058  -0.2951783   0.19868077 ...,  0.04        0.034      -0.027     ]","[ 0.06789487  0.01156121 -0.08031215 ...,  0.002      -0.018      -0.00299998]","[ 0.27808647  0.16253728  0.05507439 ...,  0.004      -0.006       0.03199999]","[ 0.35547117  0.00953719 -0.35459271 ...,  0.0025     -0.0195      0.03049999]","[-0.1215115  -0.26745626 -0.00103533 ...,  0.0075     -0.0325      0.00149999]","[ 0.05550436 -0.34107919 -0.10150979 ..., -0.00150004 -0.0125     -0.0105    ]","[-0.09146847 -0.0119639   0.33560681 ...,  0.005       0.002      -0.013     ]","[ 0.12782052  0.32871575  0.25618846 ...,  0.00350001  0.0035     -0.0015    ]","[-0.24604338  0.3063144   0.06157169 ...,  0.011       0.018       0.022     ]","[ 0.08716254  0.10604297  0.08698947 ..., -0.012      -0.023       0.002     ]"
"[-0.0877058  -0.2951783   0.19868077 ...,  0.04        0.033      -0.026     ]","[  6.98948729e-02   1.35612113e-02  -7.83121506e-02 ...,   1.26409621e-09
  -1.80000010e-02  -3.99998421e-03]","[ 0.27758647  0.16203728  0.05557439 ...,  0.0045     -0.0065      0.03349999]","[ 0.35697117  0.01003719 -0.35309272 ...,  0.005      -0.018       0.03199999]","[-0.1230115  -0.26595626  0.00146467 ...,  0.007      -0.034       0.00099999]","[ 0.05500436 -0.34057919 -0.10000979 ..., -0.00300004 -0.011      -0.009     ]","[-0.08996847 -0.0104639   0.33710681 ...,  0.0035      0.0035     -0.0135    ]","[ 0.12832051  0.32921575  0.25768845 ...,  0.00200001  0.004      -0.001     ]","[-0.24504338  0.3073144   0.06057169 ...,  0.01        0.017       0.023     ]","[ 0.08816254  0.10504297  0.08798947 ..., -0.011      -0.024       0.001     ]"
"[-0.09020579 -0.2926783   0.20118076 ...,  0.0375      0.0325     -0.0255    ]","[ 0.07039488  0.01106121 -0.07981213 ...,  0.0015     -0.0175     -0.00349998]","[ 0.27808647  0.16353728  0.05607439 ...,  0.004      -0.007       0.03299999]","[ 0.35747117  0.01053719 -0.35159272 ...,  0.0045     -0.0175      0.03249999]","[-0.1255115  -0.26745626  0.00196467 ...,  0.0065     -0.0325      0.00049999]","[ 0.05450436 -0.3400792  -0.10150978 ..., -0.00250004 -0.0095     -0.0095    ]","[-0.08946847 -0.0099639   0.33760681 ...,  0.003       0.004      -0.015     ]","[ 0.13032051  0.32921575  0.25568845 ...,  0.00200001  0.005      -0.002     ]","[-0.24454338  0.3058144   0.06207169 ...,  0.0085      0.0175      0.0225    ]","[ 0.08866254  0.10554297  0.08848947 ..., -0.0105     -0.0245      0.0005    ]"
"[-0.09370579 -0.2921783   0.20368076 ...,  0.037       0.032      -0.022     ]","[ 0.06989489  0.00956121 -0.08131213 ...,  0.003      -0.017      -0.00499998]","[ 0.27708647  0.16253728  0.05507439 ...,  0.004      -0.007       0.03299999]","[ 0.35797117  0.01103719 -0.35209271 ...,  0.006      -0.016       0.03299999]","[-0.1240115  -0.26595626  0.00046467 ...,  0.005      -0.034      -0.00100001]","[ 0.05300436 -0.3385792  -0.10300978 ..., -0.00300004 -0.008      -0.008     ]","[-0.08846847 -0.0089639   0.33860681 ...,  0.002       0.003      -0.016     ]","[ 0.13182051  0.33071575  0.25418845 ...,  0.00150001  0.0035     -0.0035    ]","[-0.24154338  0.3048144   0.06307169 ...,  0.0085      0.0205      0.0215    ]","[ 0.08916254  0.10504297  0.08698947 ..., -0.01       -0.026      -0.001     ]"
"[-0.09520579 -0.2916783   0.20418076 ...,  0.0365      0.0325     -0.0205    ]","[ 0.06939489  0.00906121 -0.08181213 ...,  0.0045     -0.0145     -0.00349998]","[ 0.27508647  0.16053728  0.05507439 ...,  0.006      -0.009       0.03099999]","[ 0.35897117  0.01003719 -0.35109272 ...,  0.005      -0.015       0.03399999]","[-0.1220115  -0.26495626 -0.00153533 ...,  0.002      -0.033      -0.00400001]","[ 0.05250436 -0.3380792  -0.10350978 ..., -0.00350004 -0.0075     -0.0085    ]","[-0.08796847 -0.0084639   0.34110681 ...,  0.0015      0.0045     -0.0155    ]","[ 0.13082051  0.32871575  0.25418845 ...,  0.00050001  0.0055     -0.0035    ]","[-0.24304338  0.3063144   0.06157169 ...,  0.007       0.022       0.021     ]","[ 0.09166254  0.10354297  0.08948947 ..., -0.0105     -0.0285     -0.0005    ]"
"[-0.09670579 -0.2931783   0.20768076 ...,  0.036       0.037      -0.019     ]","[ 0.06939489  0.00906122 -0.08181213 ...,  0.0045     -0.0145     -0.00349998]","[ 0.27658647  0.16103728  0.05557438 ...,  0.0045     -0.0105      0.03249999]","[ 0.35797117  0.01103719 -0.35009272 ...,  0.004      -0.015       0.03499999]","[-0.1200115  -0.26495626 -0.00053534 ...,  0.004      -0.035      -0.00300001]","[ 0.05200436 -0.3345792  -0.10300978 ..., -0.00300004 -0.005      -0.012     ]","[-0.08446847 -0.0059639   0.33960681 ...,  0.001       0.007      -0.015     ]","[ 0.13232051  0.32721575  0.25268846 ...,  0.00200001  0.005      -0.005     ]","[-0.24404338  0.3053144   0.06257169 ...,  0.008       0.021       0.022     ]","[ 0.08966254  0.10454297  0.08748947 ..., -0.0095     -0.0305     -0.0025    ]"
"[-0.09970579 -0.2961783   0.21168076 ...,  0.033       0.04       -0.016     ]","[ 0.06889489  0.00756122 -0.08231213 ...,  0.003      -0.015      -0.00299998]","[ 0.27808647  0.16153727  0.05607438 ...,  0.004      -0.008       0.03099999]","[ 0.35597117  0.01003719 -0.34909272 ...,  0.004      -0.015       0.03699999]","[-0.1210115  -0.26595626  0.00046466 ...,  0.003      -0.036      -0.00200001]","[ 0.05300436 -0.3335792  -0.10300978 ..., -0.00400004 -0.005      -0.012     ]","[-0.08396847 -0.0054639   0.34010681 ...,  0.0015      0.0065     -0.0145    ]","[ 0.13182051  0.32571575  0.25418845 ...,  0.00050001  0.0065     -0.0035    ]","[-0.24304338  0.3033144   0.06457169 ...,  0.01        0.021       0.021     ]","[ 0.08816254  0.10404297  0.08798947 ..., -0.008      -0.032      -0.004     ]"
"[-0.10070579 -0.2971783   0.21268076 ...,  0.033       0.041      -0.016     ]","[ 0.06689489  0.00556123 -0.08431213 ...,  0.004      -0.017      -0.00399998]","[ 0.27758685  0.16303727  0.05557438 ...,  0.0035     -0.0085      0.03249999]","[ 0.35747117  0.00953719 -0.35059272 ...,  0.0045     -0.0145      0.0355    ]","[-0.1215115  -0.26545626  0.00096466 ...,  0.0035     -0.0355     -0.00150001]","[ 0.05300436 -0.3335792  -0.10400977 ..., -0.00200005 -0.003      -0.013     ]","[-0.08446847 -0.0069639   0.33860681 ...,  0.001       0.006      -0.016     ]","[ 0.13332051  0.32421575  0.25268845 ...,  0.00200001  0.005      -0.005     ]","[-0.24054338  0.3018144   0.06507169 ...,  0.0095      0.0185      0.0225    ]","[ 0.08716254  0.10204297  0.08898947 ..., -0.01       -0.031      -0.006     ]"
"[-0.10070579 -0.29917829  0.21268076 ...,  0.036       0.046      -0.021     ]","[ 0.06489489  0.00356123 -0.08631213 ...,  0.003      -0.018      -0.00599998]","[ 0.27808685  0.16453727  0.05707438 ...,  0.006      -0.01        0.03099999]","[ 0.35947117  0.00953719 -0.35059272 ...,  0.0065     -0.0135      0.0355    ]","[-0.1210115  -0.26495626  0.00046466 ...,  0.002      -0.033       0.00099999]","[ 0.05150436 -0.3320792  -0.10350978 ..., -0.00050005 -0.0045     -0.0145    ]","[-0.08296847 -0.0054639   0.33910681 ..., -0.0005      0.0055     -0.0175    ]","[ 0.13032051  0.32321575  0.25468845 ...,  0.00400001  0.002      -0.007     ]","[-0.24204338  0.3013144   0.06557169 ...,  0.01        0.017       0.024     ]","[ 0.08816254  0.10204297  0.08798947 ..., -0.013      -0.029      -0.007     ]"
"[-0.10170579 -0.29817829  0.21168076 ...,  0.035       0.046      -0.022     ]","[ 0.06789489  0.00556123 -0.08731206 ...,  0.002      -0.019      -0.00699998]","[ 0.27908685  0.16553727  0.05807438 ...,  0.006      -0.011       0.02899999]","[ 0.35697117  0.00703719 -0.34809272 ...,  0.005      -0.013       0.037     ]","[-0.1220115  -0.26695626  0.00046466 ...,  0.003      -0.033       0.00099999]","[  5.00043613e-02  -3.28579197e-01  -1.04009776e-01 ...,  -4.64488678e-08
  -4.99999805e-03  -1.70000014e-02]","[-0.08046847 -0.0029639   0.33960681 ..., -0.002       0.007      -0.019     ]","[ 0.12982051  0.32371575  0.25518845 ...,  0.00350001  0.0025     -0.0065    ]","[-0.24104338  0.3003144   0.06657169 ...,  0.009       0.018       0.025     ]","[ 0.08816254  0.10104297  0.08898947 ..., -0.014      -0.027      -0.007     ]"
"[-0.1002058  -0.29767829  0.21218076 ...,  0.0365      0.0455     -0.0235    ]","[ 0.06939489  0.00506123 -0.08681206 ...,  0.0015     -0.0205     -0.00749998]","[ 0.27808685  0.16453727  0.05707438 ...,  0.007      -0.012       0.02999999]","[ 0.35797116  0.0060372  -0.34909272 ...,  0.006      -0.012       0.036     ]","[-0.1220115  -0.26695627  0.00146466 ...,  0.001      -0.036       0.00399999]","[ 0.05050436 -0.3290792  -0.10450978 ..., -0.00050005 -0.0035     -0.0185    ]","[-0.07796847 -0.0034639   0.34110681 ..., -0.0025      0.0095     -0.0195    ]","[ 0.12882051  0.32271575  0.25518845 ...,  0.00250001  0.0005     -0.0075    ]","[-0.24004338  0.3003144   0.06657169 ...,  0.009       0.02        0.027     ]","[ 0.08766254  0.09954297  0.09048947 ..., -0.0155     -0.0275     -0.0055    ]"
