varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4
1725821.6488131222,3808661.308293286,2309213.2857995974,107731513.85444063,5431008.6969293365
6200630.284745153,1416791.591922544,2172831.9887930355,1483596.1724202994,2757899.653799823
1740759.0645173776,2458159.0453727487,2039246.017907313,2163445.0623747283,329095859.2156529
3037493.4485546607,2046943.8761748157,5064375.485875712,1235368.041941588,2448566.865765109
2477701.0610255585,4281032.14494846,2284941.986119899,1227241.1663201654,1610972.008830602
1816884.9731430279,2173954.714036783,3794531.1420886186,1478527.7796555455,6074727.594554991
7046204.825331508,2789108.0450165407,4551310.680274108,1851880.5088548432,2112041.3170279353
4936471.656890918,1735675.141407898,2821396.2053227834,1615832.6767894567,3476464.1157071115
5508886.441078144,2882525.2942127804,2135441.067790094,1452616.862906889,1669867.4470973858
3169912.6113398066,2160839.0158898644,2681873.2587914336,1735070.4035015963,4124387.847587888
2404298.6160554457,2433443.1321886736,3274347.804381178,2202547.0425181203,1886873.380897923
3869194.911745866,6356670.713514752,11432749.496168025,979364.6126498724,1471739.965782615
1877019.1532971405,1791891.0877028783,8160810.707720708,23656600.783921767,2159451.2878172165
2284815.3350682114,3055281.210184392,14918716.831382906,2183268.2615158055,1505126.407940553
1969075.7606765088,1337738.3777405825,3305053.506859692,3324162.7065807716,1757592.3906507292
12317829.593784664,1085882.6709684795,4338097.230927342,13369129.495503776,1424363.6250464763
1638997.6101161642,1764317.6131668568,4606321.778017215,26461156174.692528,1415210.583535539
2382309.345343411,2144219.241830258,2764153.3431173125,3127126.374731324,2550425.1384117045
5545477.371158828,900366.9624394623,4413923.268915533,2419666.745913323,2303469.472316376
7744637.639771453,1737431.0714879623,5321275.633403169,2207749.572834198,1804123.280788554
517223757.4733772,1436200.5378832,2900898.1243775142,56392702.02418032,2172016.6702511366
1299383.4735746977,1443447.793290722,15794859.498108568,5606342.623685561,1508045.8171828233
4615392.825057623,1438538.1848604705,5026984.651063423,3462361.4765902427,1495202.0194543304
5120752.142383184,2301175.437561946,1786565.0470479033,2877678.8185212673,2128882.0719425525
1252533.2123074664,1193739.7513743252,3538932.8319240743,2422328512.2817845,98512842.1618269
1856516.9364347267,31982906.18814631,2131695.9942673603,4073434.663419829,3819903769.953067
2679878.0239061005,2340547.200376306,7341364.834814544,5261550.672544387,1325818.6640046309
1114137.2604369123,1387379.7936350957,2303864.110260359,2314675.5460525164,1924634.8659611074
1355582.8596382805,1234317.2244176827,2395937.607756939,1730966.1180517618,9555984.484503321
1420707.1100695033,2039388.953740073,1264203.0115186714,1622027.3788770884,2752575.489506118
8414095.553513464,2316534.8291505408,2463833.257293844,3242204.1674840823,2463659.753722752
788773.4083059358,1262854.9705482204,61433726.29250017,4285055.751681288,2167807.1737221256
195414815.87258306,1626156.047930378,2544224.5952420947,1340151.1387134294,4147520.6141543314
729771.4817925992,1662904.614790984,3157107.0510447356,1873480.9623522891,39518191.927604035
1299910845.4438794,1753615.6873543514,2837990.624382986,6128037.349902597,4465710.994824829
666512435.251374,827676.2383537435,886997089.2780021,2271614.9834953216,2526048.8115225825
1190297.498650893,1188090.5150580846,2435282.069868526,13728845.289607195,31259736.120443594
747891.0286444831,2367664.9020140865,6622695.949703396,2283186.2461142805,1722200.3554457403
2200650.77601183,2401617.796145436,10465333.467038125,2713470.5145477015,75843481200.27467
1374363.4824309226,2203472.905468606,1496362.7681498155,1532502.6582443519,199933393.24880502
489462.84079014295,2552996.269258113,3415214.535614353,1011683.383129453,18424747.363238227
636475.103216832,2039619.6854733424,1584293.4933209093,2098011.173527033,3540374.1761691226
654844.3390507442,1686373.1565826987,1266800.9573992272,1838959.1064282567,1506839.461810512
942789.1624974197,2440534.2611423293,5487641.879563294,1532227.0717586551,1938642.212841513
4165523.3389144256,3536227.796902032,2526324.939930182,884790.1437426788,3322798.0987455337
1795858.9644480932,2305291.1074052113,1885737.1713916503,1856083.4541066142,4067527.163522712
10417195671.932314,1824448.3579206595,2673393.6352172224,8585768.915956922,14394873.100597652
1835438.1290772397,3102448.86700822,3177477.5302348603,4691025.058478823,4912343.702576446
1589211.5652809413,3353089.226756804,4787664.060312177,2367600.448439186,2604835.289955422
8828839.612033745,1262405.4838821741,1962197.5543342412,5048573.729565961,3922555.6351903863
2243676.5516510075,4187564.5908552282,2492391.046079086,2190958.5589078893,3571212.078224252
1690792.8936005626,1309298.2380872702,2329320.7119750064,20230152.785728794,6394236.734562982
1019461.4453569435,2071251.3786625015,22028933.251839943,969050.8036870629,5893246.388788483
1088854.4314031433,3787247.5657520983,2608049.1195032685,2740061.377825673,2013827.978887578
1408082.0049978164,5095105.335579139,3317323.2383480724,3071977.579624226,3093995.9035562794
1951429.1381594464,2776886.1199642927,3062610.375604814,5040769.97965243,4399716.417730078
19093161.766265865,2627005.2379383096,2083894.4334556751,3787420.8016971997,20763062.17045213
1439863671026.7805,2882073.1822942197,2164996.0983164804,1756526.8114310885,4444251.95964815
529880.1843263092,3483128.4662183016,2826576.8094528564,997973.3686176667,5293145.876259112
1547427.3066061456,3865051.1296684835,2929975.322611065,704872.3003792474,3722906.360124097
1010791.6172800894,3911765.775835127,1667756.0761874754,1839712.0962932736,1924442.5971557628
1012142.9599114244,3533204.2628172217,1715617.4136893582,349365.49892671616,399987621.75221497
2133727.1087984974,3837633.5879431814,3560594.215733048,3682889.5248187236,2879354.772222745
2110100.6191332443,2268219.939604705,1553880.8646563399,2264973.251863407,5650863.654499498
2892870.6175185456,2123660.1724833124,2018943.534372291,23646227.022384197,2384182.6061049015
4956147.091334858,2160171.1849852568,1750530.1741025995,9726167.557722036,3060182.848743314
2842788.996633715,2079337.023206689,1361330.1481478983,2659477.311950288,6019608.390045539
30599697.288450304,2617120.47886338,151910294.20194468,764257.4713840898,3960566.3830022407
643947711.7149321,2569482.06663574,1763751.134268387,3376194.2194231465,4152624.6266583954
