policyParams0,policyParams1,policyParams2
"[ 0.07115541  0.04837572 -0.03334153 ...,  0.4145149   0.04300001 -0.25      ]","[-0.08622747  0.15006195 -0.03537662 ..., -0.40917695 -0.009      -0.25900001]","[-0.07651781  0.11396957 -0.07799279 ...,  0.44687685 -0.0285     -0.1475    ]"
"[ 0.07165541  0.04887572 -0.03384153 ...,  0.4150149   0.04150001 -0.2505    ]","[-0.08522747  0.15106194 -0.03637662 ..., -0.40817695 -0.009      -0.25700001]","[-0.07751781  0.11496957 -0.07699279 ...,  0.44887685 -0.0265     -0.1475    ]"
"[ 0.06815541  0.04537572 -0.03034153 ...,  0.4125149   0.04200001 -0.251     ]","[-0.08322747  0.15306195 -0.03537662 ..., -0.40617695 -0.006      -0.25200001]","[-0.07901781  0.11646957 -0.07549279 ...,  0.44737685 -0.028      -0.146     ]"
"[ 0.06915541  0.04637572 -0.03134153 ...,  0.4125149   0.04100001 -0.252     ]","[-0.08422747  0.15406194 -0.03637662 ..., -0.40517695 -0.005      -0.25100001]","[-0.08001781  0.11746958 -0.0734928  ...,  0.44537685 -0.032      -0.145     ]"
"[ 0.07065541  0.04787572 -0.03284153 ...,  0.4130149   0.04150001 -0.2515    ]","[-0.08522747  0.15406194 -0.03837662 ..., -0.40217695 -0.003      -0.25100001]","[-0.08001781  0.11746958 -0.0744928  ...,  0.44137685 -0.036      -0.142     ]"
"[ 0.07215541  0.04937572 -0.03434153 ...,  0.4145149   0.04300001 -0.252     ]","[-0.08322747  0.15606194 -0.03637662 ..., -0.40017695 -0.004      -0.25100001]","[-0.08001781  0.11746958 -0.0744928  ...,  0.44137685 -0.037      -0.141     ]"
"[ 0.07315541  0.05037572 -0.03434153 ...,  0.4105149   0.03900001 -0.256     ]","[-0.08272747  0.15756194 -0.03487662 ..., -0.40067695 -0.0035     -0.24850001]","[-0.08301781  0.12246958 -0.07149279 ...,  0.43737685 -0.04       -0.146     ]"
"[ 0.07165541  0.04887572 -0.03284153 ...,  0.4090149   0.03850001 -0.2595    ]","[-0.08122747  0.15906193 -0.03337662 ..., -0.39917695 -0.001      -0.25000001]","[-0.08301781  0.12246958 -0.07149279 ...,  0.43737685 -0.04       -0.146     ]"
"[ 0.06915541  0.04637572 -0.03034153 ...,  0.4075149   0.03700001 -0.258     ]","[ -8.22274681e-02   1.59061930e-01  -3.43766189e-02 ...,  -3.99176953e-01
  -1.51114730e-09  -2.49000010e-01]","[-0.08401781  0.12346958 -0.07049279 ...,  0.44237685 -0.042      -0.146     ]"
"[ 0.06715541  0.04437572 -0.02934153 ...,  0.4045149   0.03300001 -0.259     ]","[-0.08072747  0.16056192 -0.03287662 ..., -0.40267695 -0.0035     -0.25250001]","[-0.08401781  0.12346958 -0.07049279 ...,  0.44337685 -0.041      -0.146     ]"
"[ 0.06615541  0.04337572 -0.02834153 ...,  0.4035149   0.03200001 -0.258     ]","[-0.08122747  0.15906192 -0.03337662 ..., -0.40417695 -0.004      -0.25400001]","[-0.08451781  0.12396958 -0.0699928  ...,  0.44487685 -0.0415     -0.1475    ]"
"[ 0.06465541  0.04187572 -0.02684154 ...,  0.4020149   0.03350001 -0.2575    ]","[-0.08272747  0.15556193 -0.03587662 ..., -0.40867695 -0.0075     -0.25650001]","[-0.08401781  0.12346958 -0.0704928  ...,  0.44637685 -0.042      -0.147     ]"
"[ 0.06715541  0.04437572 -0.03034153 ...,  0.3975149   0.03000001 -0.261     ]","[-0.08222747  0.15606193 -0.03437662 ..., -0.40817695 -0.009      -0.25800001]","[-0.08551781  0.12496958 -0.0689928  ...,  0.44387685 -0.0435     -0.1445    ]"
"[ 0.07015541  0.04637572 -0.03434154 ...,  0.3925149   0.02600001 -0.265     ]","[-0.08172747  0.15556194 -0.03387662 ..., -0.40667695 -0.0095     -0.25750001]","[-0.08751781  0.12696958 -0.0669928  ...,  0.44287685 -0.0425     -0.1425    ]"
"[ 0.07115541  0.04437572 -0.03934154 ...,  0.3875149   0.02500001 -0.266     ]","[-0.08122747  0.15406194 -0.03337662 ..., -0.40517695 -0.011      -0.25900001]","[-0.08901781  0.12846958 -0.0654928  ...,  0.44137685 -0.044      -0.144     ]"
"[ 0.07415541  0.04337572 -0.04334153 ...,  0.3825149   0.02400001 -0.267     ]","[-0.07822747  0.15606196 -0.03037662 ..., -0.40417695 -0.008      -0.25500001]","[-0.08901781  0.12846958 -0.0654928  ...,  0.44137685 -0.045      -0.144     ]"
"[ 0.07815541  0.04537572 -0.04634153 ...,  0.3785149   0.02500001 -0.266     ]","[-0.07672747  0.15656197 -0.02887662 ..., -0.40167695 -0.0055     -0.25550001]","[-0.09101781  0.13046958 -0.06349282 ...,  0.43937685 -0.047      -0.143     ]"
"[ 0.07915541  0.04637572 -0.04534153 ...,  0.3775149   0.02600001 -0.265     ]","[-0.07722747  0.15706197 -0.03037662 ..., -0.40217695 -0.007      -0.25600001]","[-0.09151781  0.13096958 -0.06299282 ...,  0.43887685 -0.0465     -0.1435    ]"
"[ 0.07565541  0.04287572 -0.04884153 ...,  0.38101495  0.02950001 -0.2615    ]","[-0.07622747  0.15806196 -0.02937662 ..., -0.40217695 -0.007      -0.25700001]","[-0.09251781  0.13196958 -0.06199282 ...,  0.43687685 -0.0475     -0.1425    ]"
"[ 0.07715541  0.04237572 -0.04934153 ...,  0.38051495  0.03100001
 -0.26100001]","[-0.07472747  0.15956196 -0.02787662 ..., -0.40167695 -0.0085     -0.25750001]","[-0.09301781  0.13246958 -0.06149282 ...,  0.43937685 -0.045      -0.142     ]"
"[ 0.07715541  0.04237572 -0.04934153 ...,  0.37951495  0.03300001
 -0.26100001]","[-0.07522746  0.15906197 -0.02537668 ..., -0.40317695 -0.01       -0.26000001]","[-0.09351781  0.13296958 -0.06099282 ...,  0.44087685 -0.0435     -0.1435    ]"
"[ 0.07615541  0.04137572 -0.05034153 ...,  0.37951495  0.03100001
 -0.26100001]","[-0.07522746  0.16006197 -0.02437668 ..., -0.40217695 -0.01       -0.26000001]","[-0.09351781  0.13296958 -0.06099283 ...,  0.44187685 -0.0435     -0.1415    ]"
"[ 0.07615541  0.04037572 -0.05134153 ...,  0.37851495  0.03100001
 -0.26000001]","[-0.07572746  0.15956196 -0.02487668 ..., -0.40367695 -0.0115     -0.25950001]","[-0.09501781  0.13446958 -0.05949283 ...,  0.44037685 -0.045      -0.14      ]"
"[ 0.07715539  0.03937572 -0.05334153 ...,  0.38051495  0.03200001
 -0.26200001]","[-0.07422746  0.16206195 -0.02337668 ..., -0.40417695 -0.012      -0.26100001]","[-0.09401781  0.13346958 -0.06049283 ...,  0.44037685 -0.046      -0.141     ]"
"[ 0.07915539  0.04137572 -0.05134153 ...,  0.38251495  0.03000001
 -0.26400001]","[-0.07522746  0.16406195 -0.02537668 ..., -0.40517695 -0.014      -0.26100001]","[-0.09501781  0.13446958 -0.05949283 ...,  0.43837685 -0.047      -0.141     ]"
"[ 0.08415539  0.04637572 -0.04634153 ...,  0.38351495  0.02500001
 -0.26900001]","[-0.07622746  0.16506195 -0.02637668 ..., -0.40417695 -0.013      -0.26200001]","[-0.09751781  0.13596958 -0.05699283 ...,  0.43587685 -0.0445     -0.1385    ]"
"[ 0.08915539  0.05137572 -0.04134153 ...,  0.38451495  0.02300001
 -0.27300001]","[-0.08022746  0.16906195 -0.03037668 ..., -0.40017695 -0.009      -0.26700001]","[-0.09801781  0.13646958 -0.05649283 ...,  0.43537685 -0.045      -0.14      ]"
"[ 0.09415539  0.05637572 -0.03634153 ...,  0.38551495  0.01800001
 -0.27700001]","[-0.08522746  0.17406195 -0.03537668 ..., -0.39617695 -0.004      -0.27200001]","[-0.10001781  0.13846958 -0.05449284 ...,  0.43737685 -0.047      -0.142     ]"
"[ 0.09915539  0.06137572 -0.03134153 ...,  0.38751495  0.01300001
 -0.27900001]","[-0.09022746  0.17906195 -0.04037668 ..., -0.39417695 -0.001      -0.27700001]","[-0.10001781  0.13946958 -0.05449284 ...,  0.43937685 -0.048      -0.142     ]"
"[ 0.10065539  0.06487572 -0.02784153 ...,  0.39001495  0.01050001
 -0.28250001]","[ -9.42274589e-02   1.83061952e-01  -4.53766844e-02 ...,  -3.92176949e-01
   3.25241528e-09  -2.82000010e-01]","[-0.09851781  0.13796958 -0.05599284 ...,  0.43887686 -0.0465     -0.1415    ]"
"[ 0.09815539  0.06237572 -0.02534154 ...,  0.38751495  0.01100001
 -0.28000001]","[-0.09622746  0.18506195 -0.04937668 ..., -0.39117695  0.002      -0.28500001]","[-0.09701781  0.13646958 -0.05749284 ...,  0.43937686 -0.045      -0.142     ]"
"[ 0.09815539  0.06237572 -0.02534154 ...,  0.38651495  0.01200001
 -0.27900001]","[-0.09472746  0.18356195 -0.05087668 ..., -0.39267695  0.0035     -0.28650001]","[-0.09751781  0.13696958 -0.05699284 ...,  0.43887686 -0.0455     -0.1415    ]"
"[ 0.0966554   0.06087572 -0.02384154 ...,  0.38801495  0.01450001
 -0.27650001]","[-0.09322746  0.18206195 -0.05237668 ..., -0.39117695  0.002      -0.28800001]","[-0.09551781  0.13596958 -0.05799283 ...,  0.43987686 -0.0415     -0.1405    ]"
"[ 0.0941554   0.05837572 -0.02134154 ...,  0.39051495  0.01600001
 -0.27900001]","[-0.09222746  0.18106195 -0.05237668 ..., -0.39017695  0.002      -0.28900001]","[-0.09701781  0.13746958 -0.05649283 ...,  0.43837686 -0.041      -0.139     ]"
"[ 0.0946554   0.05787572 -0.02084154 ...,  0.39201495  0.01750001
 -0.27950001]","[-0.09172746  0.18056196 -0.05087668 ..., -0.39167695  0.0005     -0.28950001]","[-0.09751781  0.13796958 -0.05599283 ...,  0.43687686 -0.0415     -0.1375    ]"
"[ 0.0921554   0.05537572 -0.01834154 ...,  0.38751495  0.01500001
 -0.28000001]","[-0.09122746  0.18006196 -0.05237668 ..., -0.39017695 -0.003      -0.29100001]","[-0.09951781  0.13996958 -0.05499283 ...,  0.43487686 -0.0415     -0.1355    ]"
"[ 0.0906554   0.05487572 -0.01784154 ...,  0.38801495  0.01450001
 -0.28150001]","[-0.08972746  0.17856196 -0.05387668 ..., -0.38867695 -0.0025     -0.29250001]","[-0.10101781  0.14146958 -0.05349283 ...,  0.43737686 -0.041      -0.138     ]"
"[ 0.0901554   0.05337572 -0.01634155 ...,  0.38951495  0.01400001
 -0.28100001]","[-0.08522746  0.17406196 -0.05737668 ..., -0.39317695 -0.007      -0.29400001]","[-0.10201781  0.14246958 -0.05249283 ...,  0.43837686 -0.04       -0.138     ]"
"[ 0.0871554   0.05037572 -0.01334155 ...,  0.38751495  0.01800001
 -0.28100001]","[-0.08222746  0.17106196 -0.06137668 ..., -0.39817695 -0.011      -0.29500001]","[-0.10301781  0.14346958 -0.05149283 ...,  0.43637686 -0.037      -0.138     ]"
"[ 0.0831554   0.04637572 -0.00934155 ...,  0.38751495  0.02100001
 -0.28100001]","[-0.07822746  0.16606196 -0.06537667 ..., -0.40017695 -0.015      -0.29800001]","[-0.10251781  0.14296958 -0.05099283 ...,  0.43687686 -0.0345     -0.1365    ]"
"[ 0.0821554   0.04437572 -0.00734155 ...,  0.38851495  0.02500001
 -0.28100001]","[-0.07622746  0.16506196 -0.06637667 ..., -0.40217695 -0.017      -0.29800001]","[-0.10301781  0.14346957 -0.05049283 ...,  0.43837686 -0.034      -0.135     ]"
"[ 0.0831554   0.04537572 -0.00834155 ...,  0.38751495  0.02400001
 -0.28200001]","[-0.07872746  0.16356196 -0.06387667 ..., -0.40467695 -0.0185     -0.29650001]","[-0.10501781  0.14346958 -0.04849284 ...,  0.43937686 -0.033      -0.133     ]"
"[ 0.08715539  0.04737572 -0.01234154 ...,  0.38451495  0.02400001
 -0.28400001]","[-0.07772746  0.16356196 -0.06487667 ..., -0.40367695 -0.0185     -0.29450001]","[-0.10701781  0.14546958 -0.04549284 ...,  0.44037686 -0.034      -0.132     ]"
"[ 0.08865538  0.04787572 -0.01284154 ...,  0.38401495  0.02350001
 -0.28450001]","[-0.07622746  0.16506196 -0.06637667 ..., -0.40217695 -0.017      -0.29400001]","[-0.10751781  0.14596958 -0.04499284 ...,  0.44087686 -0.0345     -0.1315    ]"
"[ 0.08865539  0.04787572 -0.01284155 ...,  0.38201495  0.02250001
 -0.28350001]","[-0.07722746  0.16906196 -0.07037667 ..., -0.39917695 -0.013      -0.29300001]","[-0.10501781  0.14646957 -0.04949284 ...,  0.43737686 -0.031      -0.13      ]"
"[ 0.08565539  0.04487572 -0.00984155 ...,  0.38201495  0.02150001
 -0.28650001]","[-0.07672746  0.16856196 -0.06987667 ..., -0.39867695 -0.0125     -0.29350001]","[-0.10401781  0.14646957 -0.05249284 ...,  0.43737686 -0.028      -0.129     ]"
"[ 0.08415539  0.04337572 -0.00834155 ...,  0.38051495  0.02000001
 -0.28800001]","[-0.07622746  0.16506202 -0.0653767  ..., -0.39617695 -0.016      -0.29100001]","[-0.10501781  0.14746957 -0.05349284 ...,  0.44037685 -0.027      -0.128     ]"
"[ 0.08165539  0.04087572 -0.00584155 ...,  0.37901495  0.01750001
 -0.28950001]","[-0.07522746  0.16406203 -0.0643767  ..., -0.39517695 -0.015      -0.29000001]","[-0.10401781  0.14646957 -0.05449284 ...,  0.43937685 -0.026      -0.127     ]"
"[ 0.07915539  0.03837572 -0.00334155 ...,  0.38051495  0.01600001
 -0.29100001]","[-0.07572746  0.16456203 -0.0648767  ..., -0.39567695 -0.0155     -0.28950001]","[-0.10101781  0.14346957 -0.05749284 ...,  0.43437686 -0.027      -0.124     ]"
"[ 0.07865539  0.03787572 -0.00284155 ...,  0.38101495  0.01550001
 -0.29250001]","[-0.07522746  0.16406203 -0.06437671 ..., -0.39617695 -0.017      -0.29000001]","[-0.10151781  0.14396957 -0.05699284 ...,  0.43487686 -0.0275     -0.1235    ]"
"[ 0.07515539  0.03437572  0.00065845 ...,  0.38051495  0.02000001
 -0.29600001]","[-0.07672746  0.165562   -0.06387671 ..., -0.39867695 -0.0195     -0.29150001]","[-0.10051781  0.14496957 -0.05799284 ...,  0.43487685 -0.0265     -0.1225    ]"
"[ 0.0741554   0.03337572  0.00165845 ...,  0.37951495  0.02400001
 -0.29900001]","[-0.07922746  0.16806199 -0.06537674 ..., -0.40017695 -0.016      -0.29400001]","[-0.09951781  0.14396957 -0.05799284 ...,  0.43587685 -0.0265     -0.1215    ]"
"[ 0.0721554   0.03137572  0.00365845 ...,  0.37851495  0.02600001
 -0.30100001]","[-0.07922746  0.17006198 -0.06637674 ..., -0.39917695 -0.014      -0.29300001]","[-0.09801781  0.14246957 -0.05949281 ...,  0.43737685 -0.028      -0.123     ]"
"[ 0.0716554   0.03087572  0.00415845 ...,  0.37901495  0.02650001
 -0.30050001]","[-0.07622746  0.17306198 -0.07037673 ..., -0.39617695 -0.016      -0.29600001]","[-0.09701781  0.14146957 -0.06049281 ...,  0.43937685 -0.029      -0.124     ]"
"[ 0.0701554   0.02937572  0.00565844 ...,  0.37651495  0.02600001
 -0.30200001]","[-0.07722746  0.17306198 -0.06937673 ..., -0.39617695 -0.017      -0.29600001]","[-0.09751781  0.14196957 -0.05999281 ...,  0.43787685 -0.0285     -0.1225    ]"
"[ 0.0731554   0.03237572  0.00265844 ...,  0.37351495  0.02800001
 -0.30500001]","[-0.07522746  0.17406198 -0.07037673 ..., -0.39317695 -0.019      -0.29900001]","[-0.09951781  0.14396957 -0.05799281 ...,  0.43987685 -0.0265     -0.1245    ]"
"[ 0.0761554   0.03437572  0.00065844 ...,  0.37251495  0.02800001
 -0.30600001]","[-0.07522746  0.17406198 -0.06937674 ..., -0.39517695 -0.02       -0.30100001]","[-0.10101781  0.14546957 -0.05649282 ...,  0.44137685 -0.028      -0.126     ]"
"[ 0.0741554   0.03237572  0.00265844 ...,  0.37051495  0.02900001
 -0.30900001]","[-0.07422746  0.17606198 -0.07137674 ..., -0.39617695 -0.021      -0.30200001]","[-0.10301781  0.14746957 -0.05549281 ...,  0.44537685 -0.032      -0.131     ]"
"[ 0.0731554   0.03137572  0.00365844 ...,  0.37151495  0.02800001
 -0.31000001]","[-0.07322746  0.17706198 -0.07237673 ..., -0.39517695 -0.021      -0.30300001]","[-0.10401781  0.14846957 -0.05649281 ...,  0.44837685 -0.035      -0.134     ]"
"[ 0.0736554   0.03187572  0.00315844 ...,  0.37201495  0.02750001
 -0.31050001]","[-0.07322746  0.17706198 -0.07337674 ..., -0.39417695 -0.021      -0.30300001]","[-0.10501781  0.14946957 -0.05549281 ...,  0.45037685 -0.037      -0.137     ]"
"[ 0.0721554   0.03037572  0.00465844 ...,  0.37051495  0.02900001
 -0.31100001]","[-0.07272746  0.17756198 -0.07287674 ..., -0.39367695 -0.0205     -0.30150001]","[-0.10201781  0.14646957 -0.05849281 ...,  0.45237685 -0.036      -0.139     ]"
"[ 0.0751554   0.03337572  0.00165844 ...,  0.37551495  0.02400001
 -0.31500001]","[-0.07222746  0.17806198 -0.07437648 ..., -0.39517695 -0.022      -0.30100001]","[-0.10301781  0.14746957 -0.05749281 ...,  0.45337685 -0.035      -0.138     ]"
"[ 0.0791554   0.03737572 -0.00234156 ...,  0.37851495  0.02100001
 -0.31700001]","[-0.07222746  0.18006197 -0.07737647 ..., -0.39817695 -0.024      -0.30100001]","[-0.10401781  0.14846957 -0.05749281 ...,  0.45537685 -0.032      -0.138     ]"
"[ 0.0791554   0.03737572 -0.00234156 ...,  0.37851495  0.02100001
 -0.31800001]","[-0.07122746  0.18106197 -0.07837647 ..., -0.39717695 -0.023      -0.30200001]","[-0.10501781  0.14946957 -0.05649281 ...,  0.45637685 -0.031      -0.137     ]"
"[  7.66553996e-02   3.48757215e-02   1.58436863e-04 ...,   3.76014952e-01
   1.95000071e-02  -3.20500008e-01]","[-0.07072746  0.18156197 -0.07787647 ..., -0.39767695 -0.0235     -0.30150001]","[-0.10651781  0.14996957 -0.05599281 ...,  0.45787685 -0.0265     -0.1345    ]"
"[ 0.0741554   0.03237572  0.00265843 ...,  0.37451495  0.02100001
 -0.32200001]","[-0.07622746  0.17606197 -0.08137647 ..., -0.40317695 -0.028      -0.29700001]","[-0.10501781  0.14846957 -0.05749281 ...,  0.45637685 -0.028      -0.134     ]"
"[ 0.0736554   0.03187572  0.00315844 ...,  0.37401495  0.02350001
 -0.32150001]","[-0.08122746  0.17106197 -0.08537647 ..., -0.40517695 -0.033      -0.29300001]","[-0.10001781  0.14346957 -0.06249281 ...,  0.45437685 -0.033      -0.136     ]"
"[ 0.0726554   0.03087572  0.00415844 ...,  0.37201495  0.02450001
 -0.32250001]","[-0.08622746  0.16606197 -0.08837647 ..., -0.40617695 -0.033      -0.29200001]","[-0.09801781  0.14146957 -0.06449281 ...,  0.45337685 -0.034      -0.138     ]"
"[ 0.0711554   0.02937572  0.00565843 ...,  0.37351495  0.02300001
 -0.32400001]","[-0.09022746  0.16206197 -0.08937646 ..., -0.40917695 -0.036      -0.28900001]","[-0.09501781  0.13846957 -0.06749281 ...,  0.45537685 -0.036      -0.141     ]"
"[ 0.07015541  0.02937567  0.00665842 ...,  0.37651495  0.02100001
 -0.32900001]","[-0.09022746  0.16206197 -0.08937647 ..., -0.40917695 -0.036      -0.28700001]","[-0.09501781  0.13846957 -0.06749281 ...,  0.45937685 -0.038      -0.145     ]"
"[ 0.07115541  0.03037567  0.00565842 ...,  0.37751495  0.01800001
 -0.33300001]","[-0.08922746  0.16106197 -0.09037647 ..., -0.40817695 -0.035      -0.28800001]","[-0.09601781  0.13946957 -0.06649281 ...,  0.45837685 -0.039      -0.146     ]"
"[ 0.07265541  0.03187567  0.00415844 ...,  0.37901495  0.01550001
 -0.33450001]","[-0.08822746  0.16006197 -0.09137647 ..., -0.40817695 -0.035      -0.28800001]","[-0.09701781  0.14046957 -0.06549281 ...,  0.45737685 -0.04       -0.147     ]"
"[ 0.07015541  0.02937567  0.00665844 ...,  0.37651495  0.01300001
 -0.33800001]","[-0.09072746  0.16256197 -0.09287646 ..., -0.40567695 -0.0375     -0.29050001]","[-0.10001781  0.14246957 -0.06249281 ...,  0.45637685 -0.039      -0.152     ]"
"[ 0.06615541  0.02537567  0.01065844 ...,  0.37251495  0.00900001
 -0.34000001]","[-0.08822746  0.16006197 -0.09037646 ..., -0.40717695 -0.037      -0.29300001]","[-0.10501781  0.14646957 -0.05749282 ...,  0.45537685 -0.037      -0.157     ]"
"[ 0.06815541  0.02737567  0.00865844 ...,  0.37451495  0.01100001
 -0.34200001]","[-0.08322746  0.15506197 -0.08837646 ..., -0.40917695 -0.038      -0.29600001]","[-0.10901781  0.14846957 -0.05349282 ...,  0.45237685 -0.035      -0.16      ]"
"[ 0.07315541  0.03237567  0.00365844 ...,  0.37951495  0.01600001
 -0.34700001]","[-0.07822746  0.15006197 -0.08737647 ..., -0.41217695 -0.04       -0.29900001]","[-0.11101781  0.14946957 -0.05049282 ...,  0.45137685 -0.031      -0.161     ]"
"[ 0.07815541  0.03737567 -0.00134156 ...,  0.38351495  0.02100001
 -0.35100001]","[-0.07322746  0.14506197 -0.08737647 ..., -0.41617695 -0.041      -0.30300001]","[-0.11101781  0.14946957 -0.04949282 ...,  0.45037685 -0.032      -0.161     ]"
"[ 0.08315541  0.04237567 -0.00634156 ...,  0.38851495  0.02600001
 -0.35500001]","[-0.07022746  0.14006197 -0.08337647 ..., -0.41917695 -0.039      -0.30800001]","[-0.11301781  0.15146957 -0.04849282 ...,  0.44837685 -0.031      -0.161     ]"
"[ 0.08815541  0.04737567 -0.01134156 ...,  0.39351495  0.02900001
 -0.36000001]","[-0.06922746  0.13706197 -0.08337647 ..., -0.42117695 -0.039      -0.31100001]","[-0.11301781  0.15246957 -0.04849282 ...,  0.44637685 -0.031      -0.163     ]"
"[ 0.09165541  0.05087567 -0.01484156 ...,  0.39701495  0.03150001
 -0.36350001]","[-0.07222746  0.13406197 -0.08037647 ..., -0.42017695 -0.036      -0.31100001]","[-0.11351781  0.15296957 -0.04899282 ...,  0.44587685 -0.0295     -0.1655    ]"
"[ 0.09415541  0.05337567 -0.01734153 ...,  0.39851495  0.02900001
 -0.36500001]","[-0.07722746  0.12906197 -0.07537647 ..., -0.41617695 -0.033      -0.31300001]","[-0.11201781  0.15146957 -0.05049281 ...,  0.44437685 -0.029      -0.167     ]"
"[ 0.09515541  0.05237567 -0.02134156 ...,  0.40051495  0.02400001
 -0.36700001]","[-0.08172746  0.12456197 -0.07087647 ..., -0.41367695 -0.0305     -0.31350001]","[-0.10901781  0.14846957 -0.05149282 ...,  0.44237685 -0.027      -0.17      ]"
"[ 0.09715541  0.05337567 -0.02134157 ...,  0.40351495  0.02000001
 -0.36800001]","[-0.08022746  0.12306197 -0.07237647 ..., -0.41317695 -0.029      -0.31300001]","[-0.10751781  0.14696957 -0.05399281 ...,  0.43887685 -0.0265     -0.1725    ]"
"[ 0.09515541  0.05137567 -0.02534157 ...,  0.40451495  0.01700001
 -0.37300001]","[-0.07722746  0.12206199 -0.07537646 ..., -0.41617695 -0.026      -0.31100001]","[-0.10701781  0.14446958 -0.05449282 ...,  0.44137685 -0.029      -0.174     ]"
"[ 0.09665541  0.05287567 -0.02484157 ...,  0.40401495  0.01550001
 -0.37450001]","[-0.07972746  0.12356199 -0.07287646 ..., -0.41667695 -0.0255     -0.30850001]","[-0.10651781  0.14396958 -0.05499282 ...,  0.44187685 -0.0295     -0.1745    ]"
"[ 0.09515541  0.05137567 -0.02634157 ...,  0.40651495  0.01900001
 -0.37600001]","[-0.08122746  0.12506198 -0.07337644 ..., -0.41617695 -0.027      -0.31000001]","[-0.1070178   0.14446958 -0.05549281 ...,  0.44237685 -0.033      -0.173     ]"
"[ 0.09015541  0.04637567 -0.03134157 ...,  0.41051495  0.02400001
 -0.37700001]","[-0.08072746  0.12456198 -0.07387644 ..., -0.41567695 -0.0265     -0.31150001]","[-0.1085178   0.14496958 -0.05399282 ...,  0.44087685 -0.0365     -0.1725    ]"
"[ 0.08515541  0.04137567 -0.03634157 ...,  0.41351495  0.02900001
 -0.38000001]","[-0.07722746  0.12106199 -0.07737644 ..., -0.41717695 -0.028      -0.31500001]","[-0.1070178   0.14346958 -0.05549281 ...,  0.44137685 -0.039      -0.17      ]"
"[ 0.08015541  0.03637567 -0.04134157 ...,  0.41751495  0.03200001
 -0.38200001]","[-0.07622746  0.12006199 -0.07837644 ..., -0.41817695 -0.029      -0.31600001]","[-0.1055178   0.14096958 -0.05699281 ...,  0.43987685 -0.0405     -0.1695    ]"
"[ 0.07515541  0.03137567 -0.04634157 ...,  0.42151495  0.03700001
 -0.38300001]","[-0.07272746  0.11656199 -0.08187644 ..., -0.41567695 -0.0265     -0.31450001]","[-0.1070178   0.14246958 -0.05549281 ...,  0.43837685 -0.039      -0.17      ]"
"[ 0.07415541  0.02937567 -0.04734157 ...,  0.42251495  0.03900001
 -0.38400001]","[-0.07322746  0.116062   -0.08237643 ..., -0.41417695 -0.025      -0.31700001]","[-0.10751779  0.14296958 -0.05499281 ...,  0.43687685 -0.0375     -0.1715    ]"
"[ 0.07465541  0.02987567 -0.04684157 ...,  0.42101495  0.03950001
 -0.38550001]","[-0.07422746  0.115062   -0.08137644 ..., -0.41117695 -0.023      -0.32100001]","[-0.11001779  0.14546958 -0.05249281 ...,  0.43837685 -0.039      -0.174     ]"
"[ 0.07265541  0.02787567 -0.04884157 ...,  0.42301495  0.04050001
 -0.38450001]","[-0.07472746  0.114562   -0.08087644 ..., -0.41167695 -0.0225     -0.32050001]","[-0.11101779  0.14646958 -0.05049284 ...,  0.44337685 -0.04       -0.178     ]"
"[ 0.07115541  0.02637567 -0.05034157 ...,  0.42151495  0.03900001
 -0.38700001]","[-0.07322746  0.113062   -0.08237644 ..., -0.40617695 -0.017      -0.32600001]","[-0.11001779  0.14646958 -0.05149284 ...,  0.44537685 -0.042      -0.178     ]"
"[ 0.06815541  0.02337567 -0.05334157 ...,  0.41651495  0.03700001
 -0.39200001]","[-0.07272746  0.112562   -0.08287644 ..., -0.40567695 -0.0145     -0.32650001]","[-0.11301779  0.14946958 -0.04849284 ...,  0.44137685 -0.045      -0.178     ]"
"[ 0.06315541  0.01937567 -0.05834157 ...,  0.41251495  0.03700001
 -0.39700001]","[-0.07522746  0.115062   -0.08037644 ..., -0.40817695 -0.017      -0.32800001]","[-0.11601779  0.15346958 -0.04549284 ...,  0.43737685 -0.047      -0.179     ]"
"[ 0.05915541  0.01537567 -0.06334157 ...,  0.40951495  0.03400001
 -0.40200001]","[-0.08022746  0.118062   -0.07537644 ..., -0.41117695 -0.021      -0.32800001]","[-0.11651779  0.15396958 -0.04499284 ...,  0.43587685 -0.0485     -0.1785    ]"
"[ 0.05615541  0.01237567 -0.06634157 ...,  0.40551495  0.03600001
 -0.40600001]","[-0.08522746  0.120062   -0.07037644 ..., -0.41417695 -0.024      -0.33100001]","[-0.11801779  0.15446958 -0.04349284 ...,  0.43537685 -0.051      -0.174     ]"
"[ 0.05615541  0.01237567 -0.06734157 ...,  0.40451495  0.03600001
 -0.40900001]","[-0.08922746  0.124062   -0.06537644 ..., -0.41917695 -0.027      -0.33000001]","[-0.11751779  0.15496958 -0.04399284 ...,  0.43587685 -0.0515     -0.1735    ]"
"[ 0.05765541  0.01387567 -0.06584157 ...,  0.40501495  0.03450001
 -0.40750001]","[-0.09422746  0.128062   -0.06037644 ..., -0.42017695 -0.028      -0.33400001]","[-0.11401779  0.15346958 -0.04749284 ...,  0.43737685 -0.05       -0.174     ]"
"[ 0.05765541  0.01387567 -0.06584157 ...,  0.40701495  0.03250001
 -0.40650001]","[-0.09622746  0.127062   -0.05737644 ..., -0.42117695 -0.03       -0.33500001]","[-0.11451779  0.15296958 -0.04699284 ...,  0.43687685 -0.0505     -0.1745    ]"
