policyParams0,policyParams1,policyParams2
"[ 0.12015529  0.08537572 -0.05134141 ...,  0.3925149   0.011      -0.102     ]","[-0.19372754  0.19056185  0.01012363 ..., -0.46167695  0.0075     -0.1215    ]","[-0.07951779  0.15596959 -0.06999283 ...,  0.39587687 -0.0115     -0.1065    ]"
"[ 0.12065529  0.08587572 -0.05184141 ...,  0.3920149   0.0115     -0.1015    ]","[-0.19622754  0.18806185  0.01162363 ..., -0.45917695  0.01       -0.119     ]","[-0.07751779  0.15396959 -0.07199283 ...,  0.39587687 -0.0105     -0.1045    ]"
"[ 0.12365529  0.08887572 -0.05484141 ...,  0.3940149   0.0125     -0.1045    ]","[-0.20122754  0.18306185  0.01562363 ..., -0.45817695  0.014      -0.115     ]","[-0.07801779  0.15446959 -0.07149283 ...,  0.39437687 -0.011      -0.106     ]"
"[ 0.12115529  0.08637572 -0.05234141 ...,  0.3965149   0.015      -0.105     ]","[-0.20622754  0.17806185  0.01662363 ..., -0.45517695  0.018      -0.114     ]","[-0.07701779  0.15346959 -0.07249283 ...,  0.39337687 -0.011      -0.106     ]"
"[ 0.12165529  0.08687572 -0.05284141 ...,  0.3970149   0.0145     -0.1055    ]","[-0.20772754  0.17656185  0.01812363 ..., -0.45567695  0.0195     -0.1155    ]","[-0.07801779  0.15646959 -0.07049283 ...,  0.39737687 -0.008      -0.11      ]"
"[ 0.1186553   0.08387572 -0.04984142 ...,  0.3940149   0.0165     -0.1085    ]","[-0.20422754  0.18006185  0.01462363 ..., -0.45717695  0.022      -0.11400001]","[-0.07701779  0.15546959 -0.06949283 ...,  0.39837687 -0.003      -0.112     ]"
"[ 0.1171553   0.08237572 -0.04834142 ...,  0.3945149   0.015      -0.108     ]","[-0.20222754  0.18206185  0.01262363 ..., -0.45717695  0.023      -0.11200001]","[-0.07901779  0.15746959 -0.06749283 ...,  0.40037687  0.002      -0.115     ]"
"[ 0.1166553   0.08187572 -0.04784142 ...,  0.3960149   0.0135     -0.1075    ]","[-0.20122754  0.18306185  0.01162363 ..., -0.45917695  0.02       -0.11100001]","[-0.07901779  0.15746959 -0.06749283 ...,  0.40237687  0.004      -0.118     ]"
"[ 0.11715534  0.08337572 -0.04934142 ...,  0.3975149   0.015      -0.106     ]","[-0.20022754  0.18406185  0.01062363 ..., -0.45817695  0.021      -0.11200001]","[-0.07951779  0.15796959 -0.06699283 ...,  0.40387687  0.0055     -0.1185    ]"
"[ 0.12015533  0.08637572 -0.05234141 ...,  0.4015149   0.016      -0.103     ]","[-0.19522754  0.18906185  0.00562363 ..., -0.45317695  0.021      -0.11700001]","[-0.08051779  0.15896959 -0.06699283 ...,  0.40387687  0.0065     -0.1175    ]"
"[ 0.11965533  0.08587572 -0.05184141 ...,  0.4020149   0.0155     -0.1035    ]","[-0.19472754  0.19056185  0.00512363 ..., -0.45167695  0.0215     -0.11850001]","[-0.07701779  0.15546959 -0.07049283 ...,  0.40337687  0.004      -0.117     ]"
"[ 0.12065533  0.08687572 -0.05184142 ...,  0.4030149   0.0165     -0.1055    ]","[-0.19322754  0.19206185  0.00362365 ..., -0.45217695  0.024      -0.11900001]","[-0.07201779  0.15046959 -0.07549283 ...,  0.40337687  0.002      -0.115     ]"
"[ 0.11715533  0.08437572 -0.04934142 ...,  0.4005149   0.013      -0.109     ]","[-0.19122754  0.19406184  0.00162365 ..., -0.45017695  0.025      -0.11900001]","[-0.06701779  0.14546959 -0.08049283 ...,  0.40637687 -0.001      -0.117     ]"
"[ 0.11615533  0.08337572 -0.04834142 ...,  0.3995149   0.012      -0.112     ]","[-0.19172754  0.19456184  0.00112365 ..., -0.44867695  0.0265     -0.11850001]","[-0.06201779  0.14046959 -0.08549283 ...,  0.40937687 -0.002      -0.115     ]"
"[ 0.11215533  0.08037572 -0.04434142 ...,  0.3955149   0.013      -0.114     ]","[-0.19322754  0.19306185  0.00262365 ..., -0.45017695  0.027      -0.11500001]","[-0.05701779  0.13546959 -0.08949283 ...,  0.40837687 -0.006      -0.117     ]"
"[ 0.10915533  0.07837572 -0.04134142 ...,  0.3935149   0.011      -0.117     ]","[-0.19472754  0.19156185  0.00212365 ..., -0.45167695  0.0285     -0.11350001]","[-0.05501779  0.13346959 -0.09049283 ...,  0.40937687 -0.006      -0.118     ]"
"[ 0.10915533  0.07837572 -0.04134142 ...,  0.3925149   0.01       -0.117     ]","[-0.1982275   0.19206185  0.00162365 ..., -0.44817695  0.032      -0.11200001]","[-0.05751779  0.13096959 -0.08799283 ...,  0.41187687 -0.0075     -0.1205    ]"
"[ 0.10715533  0.07637572 -0.04534143 ...,  0.3905149   0.006      -0.118     ]","[-0.19722751  0.19006185  0.00062365 ..., -0.44517695  0.035      -0.11200001]","[-0.05951779  0.12896959 -0.08599283 ...,  0.40987687 -0.0085     -0.1185    ]"
"[ 0.10665533  0.07587572 -0.04584143 ...,  0.3910149   0.0055     -0.1195    ]","[ -1.97727506e-01   1.89561847e-01   1.23651214e-04 ...,  -4.42676954e-01
   3.74999996e-02  -1.12500011e-01]","[-0.06101779  0.1274696  -0.08449283 ...,  0.40837687 -0.007      -0.119     ]"
"[ 0.11115533  0.08037572 -0.04434143 ...,  0.3875149   0.004      -0.123     ]","[-0.19522751  0.18706185  0.00262365 ..., -0.44417695  0.036      -0.11500001]","[-0.06601779  0.12746961 -0.07949284 ...,  0.40537687 -0.005      -0.12      ]"
"[ 0.11315533  0.08237572 -0.04534143 ...,  0.3855149   0.002      -0.124     ]","[-0.19422751  0.18606185  0.00262365 ..., -0.44517695  0.035      -0.11600001]","[-0.06651779  0.12796961 -0.07899284 ...,  0.40587687 -0.0055     -0.1205    ]"
"[ 0.11365533  0.08187572 -0.04584144 ...,  0.3860149   0.0045     -0.1255    ]","[-0.19022751  0.18806185  0.00562365 ..., -0.44917695  0.031      -0.11700001]","[-0.06701779  0.12746961 -0.07849284 ...,  0.40337687 -0.007      -0.12      ]"
"[ 0.11365533  0.08087572 -0.04684143 ...,  0.3850149   0.0065     -0.1265    ]","[-0.19122751  0.18706185  0.00462365 ..., -0.45017695  0.03       -0.11800001]","[-0.06851779  0.1279696  -0.07699284 ...,  0.40087687 -0.0085     -0.1225    ]"
"[ 0.11315533  0.08037572 -0.04634143 ...,  0.3845149   0.007      -0.127     ]","[-0.19072751  0.18756185  0.00512365 ..., -0.44967695  0.0305     -0.11850001]","[-0.07101779  0.1304696  -0.07449284 ...,  0.40337687 -0.006      -0.125     ]"
"[ 0.11215533  0.07937572 -0.04534143 ...,  0.3815149   0.009      -0.128     ]","[-0.19222751  0.18806185  0.00362366 ..., -0.45117695  0.029      -0.11700001]","[-0.07501779  0.1334696  -0.07049284 ...,  0.40637687 -0.004      -0.13      ]"
"[ 0.10915533  0.07637572 -0.04234143 ...,  0.3785149   0.006      -0.13      ]","[-0.19072751  0.18956185  0.00512366 ..., -0.45267695  0.0285     -0.11750001]","[-0.07901779  0.1364696  -0.06649284 ...,  0.41137687 -0.002      -0.135     ]"
"[ 0.10765533  0.07487572 -0.04084143 ...,  0.3760149   0.0055     -0.1315    ]","[-0.18972751  0.18756185  0.00312366 ..., -0.45167695  0.0305     -0.11650001]","[-0.07901779  0.1354696  -0.06649284 ...,  0.41437687 -0.001      -0.14      ]"
"[ 0.10915533  0.07437572 -0.04234143 ...,  0.3775149   0.008      -0.132     ]","[-0.18922751  0.18906185  0.00462366 ..., -0.45417695  0.028      -0.12000001]","[-0.08001779  0.1364696  -0.06549284 ...,  0.41537687 -0.002      -0.144     ]"
"[ 0.11365533  0.07787572 -0.04684143 ...,  0.3800149   0.0115     -0.1325    ]","[-0.18672751  0.18856185  0.00512366 ..., -0.45367695  0.0285     -0.12250001]","[ -8.20177866e-02   1.37469603e-01  -6.34928381e-02 ...,   4.16376874e-01
  -2.78333295e-10  -1.47000000e-01]"
"[ 0.11415532  0.07837572 -0.04734143 ...,  0.3785149   0.012      -0.133     ]","[-0.1872275   0.18906185  0.00562366 ..., -0.45517695  0.029      -0.12300001]","[-0.07901779  0.1344696  -0.06649284 ...,  0.41337687 -0.003      -0.149     ]"
"[ 0.11265532  0.07687572 -0.04584143 ...,  0.3770149   0.0115     -0.1335    ]","[-0.1857275   0.18756185  0.00412366 ..., -0.45467695  0.0275     -0.12250001]","[-0.07751779  0.1319696  -0.06899284 ...,  0.41287687 -0.0055     -0.1495    ]"
"[ 0.11415532  0.07837572 -0.04734143 ...,  0.3785149   0.013      -0.133     ]","[-0.1872275   0.18906185  0.00562366 ..., -0.45317695  0.029      -0.12300001]","[-0.07951779  0.13396961 -0.06699284 ...,  0.41587687 -0.0055     -0.1495    ]"
"[ 0.11365533  0.07787572 -0.04684143 ...,  0.3770149   0.0125     -0.1315    ]","[-0.1862275   0.18806185  0.00462366 ..., -0.45417695  0.028      -0.12200001]","[-0.08101779  0.13546961 -0.06549284 ...,  0.41637687 -0.007      -0.148     ]"
"[ 0.11215533  0.07637572 -0.04534143 ...,  0.3805149   0.011      -0.135     ]","[-0.1862275   0.18906185  0.00462366 ..., -0.45817695  0.028      -0.12000001]","[-0.08501779  0.13846961 -0.06149284 ...,  0.41437687 -0.008      -0.146     ]"
"[ 0.11115533  0.07637572 -0.04534143 ...,  0.3855149   0.011      -0.139     ]","[-0.1822275   0.18506185  0.00062366 ..., -0.46117695  0.026      -0.11900001]","[-0.09001779  0.14346961 -0.05649284 ...,  0.41337687 -0.01       -0.143     ]"
"[ 0.10915533  0.07537572 -0.04234143 ...,  0.3895149   0.012      -0.144     ]","[-0.17922749  0.18006186 -0.00437634 ..., -0.46517695  0.022      -0.11800001]","[-0.09151779  0.14496961 -0.05499284 ...,  0.41287687 -0.0095     -0.1415    ]"
"[ 0.10715531  0.07937572 -0.04434143 ...,  0.3945149   0.014      -0.149     ]","[-0.17872749  0.18056186 -0.00387634 ..., -0.46467695  0.0215     -0.11850001]","[-0.09151779  0.14496961 -0.05499284 ...,  0.40987687 -0.0105     -0.1405    ]"
"[ 0.10665531  0.07787572 -0.04284143 ...,  0.3950149   0.0135     -0.1495    ]","[-0.18122749  0.17906187 -0.00737634 ..., -0.46217695  0.017      -0.12200001]","[-0.09401779  0.14746961 -0.05249284 ...,  0.41137687 -0.01       -0.14      ]"
"[ 0.10215531  0.08137572 -0.04634143 ...,  0.3935149   0.011      -0.154     ]","[-0.18222748  0.18006187 -0.00837656 ..., -0.45817695  0.013      -0.12400001]","[-0.09301781  0.14646961 -0.05149284 ...,  0.41037687 -0.009      -0.141     ]"
"[ 0.09715531  0.08637572 -0.05134143 ...,  0.3905149   0.007      -0.159     ]","[-0.18122748  0.18106187 -0.00937656 ..., -0.45617695  0.011      -0.12500001]","[-0.09151781  0.14396963 -0.05299284 ...,  0.40987687 -0.0065     -0.1415    ]"
"[ 0.09515531  0.08737572 -0.05234143 ...,  0.3895149   0.006      -0.159     ]","[-0.18272748  0.18156187 -0.01187656 ..., -0.45467695  0.0095     -0.12750001]","[-0.08901782  0.14146963 -0.05449285 ...,  0.41337687 -0.008      -0.14      ]"
"[ 0.09365532  0.08587572 -0.05084143 ...,  0.3900149   0.0075     -0.1585    ]","[-0.17922748  0.18506187 -0.00937655 ..., -0.45617695  0.007      -0.13100001]","[-0.08751782  0.13996963 -0.05599285 ...,  0.41487687 -0.0095     -0.1385    ]"
