rewardsSubIter0,rewardsSubIter1,rewardsSubIter2
"[ 166.05346513  134.7431029   181.84775633   27.7934353   182.23971256
  166.05346513  134.7431029   181.84775633  134.7431029   181.84775633
   27.7934353   189.03508176]","[ 146.73092778  202.05148549  208.16194686  165.25942842  116.90083706
  186.34752266  180.60170564  167.00659328  208.16194686  165.25942842
  116.90083706  186.34752266]","[  41.32530061  117.34294332  132.51800733  139.61654473   41.32530061
  117.34294332  132.51800733  139.61654473  139.61654473   92.1800893
   56.68170137  108.2322963 ]"
"[ 147.87344312  146.40635861   80.71846944  163.24587727   41.4276899
  185.52721127  147.87344312  146.40635861  185.52721127  147.87344312
  146.40635861   80.71846944]","[ 159.04113395  171.06192562  129.53207718  175.66699963  106.03640354
  175.50733848  142.56699431  159.53645672  142.56699431  159.53645672
  159.04113395  171.06192562]","[ 143.06321985   90.40929485   41.8254265    78.92252237  103.10444358
   93.61312494   91.69029062  143.06321985  103.10444358   93.61312494
   91.69029062  143.06321985]"
"[ 133.9386803   167.15966221  146.85672035   80.70159764  146.85672035
   80.70159764  174.36308519  125.05355954  167.15966221  146.85672035
   80.70159764  174.36308519]","[ 175.18997254  186.26671441  161.44856353  147.2452641   164.17970225
  166.7722924   109.30132405  150.67796849  109.30132405  150.67796849
  175.18997254  186.26671441]","[ 118.31715659   65.70038314  111.73642375  122.33624995  118.31715659
   65.70038314  111.73642375  122.33624995  122.33624995  136.00261555
  120.88557573   63.44063543]"
"[ 178.76417101  202.12906927  170.5017813   186.86655041  202.12906927
  170.5017813   186.86655041  170.59946457  170.5017813   186.86655041
  170.59946457  195.55659287]","[ 174.57454022  195.85531845  194.38286484  176.05672147  166.51204462
  196.44180949   38.16274208  105.58317876  194.38286484  176.05672147
  166.51204462  196.44180949]","[ 155.0640938   188.73112586  151.56114535  114.27615729  114.27615729
  180.7778635   169.15469065  109.63218716  155.0640938   188.73112586
  151.56114535  114.27615729]"
"[ 182.51959016  177.48148438  203.82640396  199.87127364  145.37000747
  210.90535477  182.51959016  177.48148438  210.90535477  182.51959016
  177.48148438  203.82640396]","[ 196.75991213  203.15791991  182.54727006  191.17312067  182.54727006
  191.17312067  194.67286145  140.35715987  178.38251157  179.38831333
  196.75991213  203.15791991]","[  89.18650091  171.1826396    84.72373351  174.04543734   89.18650091
  171.1826396    84.72373351  174.04543734  174.04543734   68.4781724
  127.54704445  115.49253104]"
"[ 158.27388119  217.99194189   74.96074562  166.85033489  217.99194189
   74.96074562  166.85033489  183.85814516   74.96074562  166.85033489
  183.85814516  162.86186464]","[ 197.91868699  140.6645681   152.67395398   92.73946348  152.67395398
   92.73946348  196.14963296  126.46158288  177.16071777  186.3275613
  197.91868699  140.6645681 ]","[  94.52511512  146.06844946  143.13139363  124.99652068  124.99652068
  159.84732575  216.64766141  172.13079534   94.52511512  146.06844946
  143.13139363  124.99652068]"
"[  94.64206951  181.42836755  185.798542    174.55339155  181.42836755
  185.798542    174.55339155   31.56276814  196.49997707   94.64206951
  181.42836755  185.798542  ]","[ 171.88457534  123.53880551  174.75525838  176.00186668  142.95216863
  154.56176292  171.88457534  123.53880551  155.80590101  164.39092913
  142.95216863  154.56176292]","[ 146.8966387   211.31428203  199.25851533  152.2683504   146.8966387
  211.31428203  199.25851533  152.2683504   152.2683504   117.89146984
  146.62747156  173.80130199]"
"[ 187.00038687  118.0151367   166.98719744  156.55002907  166.98719744
  156.55002907  141.78917815  201.76283949  118.0151367   166.98719744
  156.55002907  141.78917815]","[ 141.57192994  173.3613851   156.0999548   153.71956766  192.07230564
  161.05329079  141.57192994  173.3613851   156.0999548   153.71956766
  170.61447941  150.22326745]","[ 101.42737854  167.15790229  191.04525846  149.80693439  149.80693439
   73.70806591   73.23781086  159.83963958  101.42737854  167.15790229
  191.04525846  149.80693439]"
"[ 178.0889996   218.39031246  209.6799908   183.0583161   218.39031246
  209.6799908   183.0583161    76.80178273  209.6799908   183.0583161
   76.80178273  201.10475976]","[ 195.64244957  163.84471065  150.76453761  172.30925232  150.76453761
  172.30925232  195.61339697  146.43567403  143.25285013  109.29501534
  195.64244957  163.84471065]","[ 100.65838005   88.05794719  197.5444116   193.6669494   100.65838005
   88.05794719  197.5444116   193.6669494   193.6669494   199.58636643
   85.25573618   93.4145813 ]"
"[ 208.68721909  184.39157032  149.82208845  203.30074389   69.60111844
  208.68721909  184.39157032  149.82208845  184.39157032  149.82208845
  203.30074389  157.07660488]","[ 156.49697642  175.08238012  192.82056965  161.69765499  171.61473449
  133.86756232  156.49697642  175.08238012  148.05529607  148.19608426
  171.61473449  133.86756232]","[ 199.21901561  142.93239051   67.63129477   56.66143627   56.66143627
  184.67950889  150.6947301   145.6627267   199.21901561  142.93239051
   67.63129477   56.66143627]"
