rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 909.68470088  479.71423422  479.67255006  359.65142353  589.77904877
  159.85650257  439.66725902  499.82070175  899.66700548    0.        ]","[ 279.8767642   129.94281373  189.91727164   29.94976817  189.89189711
   29.95807593  109.85389919   89.90566393   19.95925115  229.86672723]","[ 409.65651998  609.7517417   119.93358093  439.81409805  109.826251
  749.72031533  149.91557959  499.73463766  159.91102948   49.93335065]","[  69.93341737    0.            9.98685972  389.81513545   29.97727143
   39.95088774  149.93981571   49.93431301   79.95479567    9.97909445]","[ 659.72025121   89.89297567  399.70892065   29.9510887    39.96977687
  339.54137305   19.96768341  329.74844619   79.9315511    99.90382551]"
"[  559.79605698   759.74212375   179.83606837    19.96998389  1799.58041949
   689.69114917   699.81792911   419.78020166   719.56645396   959.69230182]","[ 109.87054638   69.91549719   59.94637472  339.82136203   79.94217636
  239.82529994  119.91437141   49.972126    279.91738616  119.94713054]","[ 359.74538112  989.52907691  239.8670649   779.73801573  119.95020059
    0.           69.89167598  339.75818263   39.94527648  549.7574632 ]","[  29.97326844  279.91589248  109.97458507   19.96856989   59.95415643
  189.7917064    29.98084036   59.96873138   59.93038188    9.98427627]","[  49.94242839  579.77531811   29.94526119  219.72399499  319.80900912
   49.94496007  239.90207105  339.79289149   19.98245844  259.8997573 ]"
"[ 339.81948078  519.81616576  469.79589151  599.66698346  719.68911304
  339.75432262  589.69850041  469.7752175   159.79124375   69.87482258]","[  89.90310324  289.9387538   289.89627978  199.8590197   109.9211946
   99.91269655  159.81030841   99.93635075   69.91621425  259.78347416]","[  79.9239731    99.90386473  529.77886215   39.95304923  399.72712934
   89.89908081  449.78305888  529.83520397   29.96537031  429.78513938]","[  19.96727378   79.94540318   89.95403112   69.9016735    59.96045444
  109.94014028   19.97475742   49.9865603    39.96462432  699.71014893]","[ 179.88852073  629.88340899  339.86357245  149.91074836  909.57595241
  229.90698435  689.7735593   379.91278504  549.51257121   49.95381521]"
"[ 449.82082328  319.82854196   59.91537586  499.81185371  889.64785047
  619.78976533  269.84913539   59.91537586  499.81185375  949.65964011]","[ 289.86202613  109.95005441  169.76630325   69.93221428  419.81542791
   39.95925697  199.82708715  239.90042778    0.           99.94350958]","[ 379.89398471   39.95780087  469.78258309  689.67007864  359.68108147
  289.8324049   109.90433433  779.78536734  419.84204261  719.69407058]","[ 219.74980387   19.96901625  339.84406281  129.92447453   19.96347867
  259.81815774   39.96104473  389.7376408   479.77163148   59.94692712]","[ 379.8417253   469.73264026    9.98494236  299.9071608   299.76843895
  109.885134    329.77546796  589.752237     49.95746542  359.78648125]"
"[  69.89027653  739.64237055  509.7627624    99.92112149   69.89027654
  739.64237055  509.7627624   389.54775697  759.80489905  519.76774844]","[ 139.91494404   59.9590713     0.           99.92857549  319.80627844
  369.73524992  149.79237449  189.89526567  329.8927648   219.81527367]","[  659.81075561   399.72502773   419.78526233  1009.66745014   409.72085553
   199.79849348    39.93422354   639.75193982   539.63906323   489.6876053 ]","[  39.97947462  249.86101477   59.94436352  189.90709593  159.94188731
  129.95078769   99.92222002  159.93158299   19.96729477   19.97066818]","[ 469.88850822  349.71970355  129.89550962  309.76992623   49.94082223
   99.93218844  309.9352164   309.80480386  559.76609001   19.97517387]"
"[  19.96995012   19.9617213   879.45153172  679.83279765   19.96995012
   19.9617213   879.45153172  679.83279765   99.91900915    9.98384177]","[  19.96868629   89.95703426   89.92224533  359.80753245   79.90485941
  149.93089586   39.95543909   69.91041768  289.88468581  149.95379917]","[  579.81601096     9.98588203   409.75000935  1029.60546469   559.8268389
   359.62322302   119.91824449  1009.71968129   589.88311295  1529.39429006]","[  89.95756847  849.81443465   29.9476165   159.86840505  209.90024287
  259.88690835   89.92462875  529.7568538     9.98113782  109.95656588]","[ 189.89220365  399.66073524   29.96182854  209.88903093   29.96701323
  169.82989652  249.87168884  419.77112499  789.59622631  159.85865808]"
"[ 1359.51018809   319.79780311   389.70762649   799.67473064  1089.54282385
   629.73435961  1119.66663416   799.67473064  1089.54282385   589.69225373]","[ 229.74927697   69.97037093  309.8306685   109.877574     59.94486383
   39.95979155  709.76787365  129.94146408  319.85837442  459.84092406]","[  819.67659785   539.83998412   399.68914635   399.61556782  1089.6658893
   579.75985376    39.93039203   569.69554934   699.83739154    89.94786801]","[ 109.94653513   39.97507777  119.88384464  389.71889388  179.93075044
  149.91357717   89.9718913   619.81812374   69.92499575  669.7635711 ]","[ 329.82745822  459.77043057  479.61373393  179.92385357  639.5836505
   59.93872487  279.79854619  209.89364012  649.73825144  219.86903042]"
"[ 339.7655266   369.80062603   39.93243862  249.78415     559.78221401
    9.98157886  689.73370048  649.76716351  169.82882863    0.        ]","[ 169.76715607  379.63766803   69.9260527   279.89574749   19.976099
  339.77811658   29.94957296  359.74719991   99.92587694  199.85437743]","[  619.69617006   699.6750717     29.95214142   399.6792049    589.81976485
   389.6976194    269.90117258  1159.74932017   159.85063907   449.80964113]","[ 279.80963556   39.94419274  199.92751252  149.88861308    0.
  529.83319873  329.72037326   19.96508248    0.           19.9831033 ]","[  69.91560971  819.31342242  199.74643658   29.95611299  659.70462285
  319.87991694   69.90712314  749.82417524  599.84079341  299.79905521]"
"[  549.78321783     9.98000772  1039.80316752   399.76173014    29.94472739
   419.82234552     0.           179.9251089   1609.32952217   779.72318465]","[ 119.90974566   99.88363628  199.89480544    9.98046699   49.96526923
  269.89594978  159.86179758  499.71590752  139.88287155  339.84236031]","[ 1319.46082615   429.78268313  1209.64151528   399.7400448   1129.73199571
  1239.33013846   109.88659602   529.79633732  1309.68217064   219.78289645]","[  99.9280267   309.89166022  439.66790374  439.82098487   19.97933401
  179.93509602  339.88970873    9.98367166   79.93354213  259.86845971]","[ 589.48701108   19.97133397  449.86467551   99.85733623   99.93618854
  799.77178723  199.8593723   119.96179217  219.92747587  579.76793569]"
"[  549.77346048   749.74033589   689.81334172   539.83283717    29.96122855
   429.67067371  1609.46559546   559.7837068   1249.53888364  1969.58570555]","[ 259.88483443    9.98038945  459.76142944  409.69655153  509.73449432
  109.95089815  629.80070893   69.90771774  249.89122423   69.95470601]","[ 559.72354113  709.43522012   29.95986473  689.68995238    9.98209566
  489.69046636  309.84687321  489.75290593  409.79452707  439.79502486]","[ 429.77238261    9.9816608   359.71897877   29.94375793   89.94210104
  449.91736675  129.80634231  549.82832017  329.7350414   639.65850489]","[ 169.89827678  539.78899466  469.81316053   19.97142761  409.65568605
  269.82301581  229.83328209  189.88669137    9.98115788  549.86406765]"
"[    0.          1169.74463541    19.96739492   949.5307632   1059.57376817
   719.49158759   959.76047504   389.75557862   729.76237406   709.70478792]","[ 509.57825513  269.9343529   469.76331104   69.92331661  219.80564508
  919.64614815  399.77385772  169.93955396  309.82467516    9.98155574]","[  219.82217145    39.94330749   149.86522014  1069.56439702   589.8375563
  1029.41968517    59.95727922   759.64039911   549.70841045   659.60430648]","[ 489.77449973  179.91341651  129.9148091   129.93630369  219.76611909
  459.82748484  659.66375158  239.86170277   29.95247446  239.89046655]","[  849.60102122   619.85129975  1309.50581473   219.85131693   349.76066284
   479.77018775   409.70120108   749.68084462   239.88198569    69.89209291]"
"[   59.93509477   749.56928553   649.43776579   999.48299607    29.95634098
   689.76932876   439.7851897    659.85714647  1219.50304482   919.81297659]","[ 149.91634606  579.78777426  279.90008928  359.89189804  309.93393604
    9.98002442  249.89169784  709.80159575  349.85171387  569.68786579]","[   29.96208957   629.81663068   479.82091511     0.           409.77108011
   559.78478077  1089.65603999   559.80318512    29.95907241   509.80558263]","[ 159.93978323  379.8513619   399.88296587  469.79807006   29.96970326
  129.85775373   79.93298053    9.98033886  189.84825995  139.83033102]","[ 1319.46058431  1299.37122525   539.76031319   519.64871118   299.81274734
   579.77904228   709.56204818   869.29986979    39.93784164    39.96323381]"
